Complexity,Loss,Equation
1,2.8186123,"0.001413549"
2,2.5685408,"expdecay(n)"
4,2.2740393,"expdecay(n * 0.870999)"
5,2.1873724,"Lorentzian(bL, n) * 0.03685051"
6,2.1486852,"Lorentzian(bL, expdecay(-0.84259063 * n))"
7,1.7117262,"Lorentzian(bL, n) * Lorentzian(n, -23.595839)"
8,1.4863988,"Lorentzian(bL * bT, expdecay(n * -0.730676))"
11,1.45214,"Lorentzian((n * bL) * -0.64435667, n * (bT * bT))"
12,1.290812,"Lorentzian(expdecay(n * -0.20988242) * bL, (n * bT) * bT)"
13,1.2020283,"Lorentzian(n * (bL * (n * 0.08253901)), bT * (bT * n))"
14,1.0647166,"Lorentzian((bL * expdecay(n * -0.47752702)) * 0.13869658, (bT * n) * bT)"
16,0.8423842,"Lorentzian(((expdecay(n * -0.56480587) * 0.020436078) * bL) * bL, bT * (bT * n))"
18,0.8255319,"Lorentzian(((bL * -0.02228669) * bL) * expdecay(n * -0.5419696), bT * (bT * (n * 1.1405407)))"
20,0.8091499,"Lorentzian(((bL * expdecay(n * -0.56480587)) * bL) * -0.025397552, n * (((n * 0.12502155) * bT) * bT))"
21,0.7731089,"Lorentzian(((n * (bL * (n * n))) * bL) * -0.008109661, bT * ((bT * n) * n)) * 6.7073126"
23,0.7352891,"Lorentzian(n * (((n * -0.0012067595) * bL) * (bL * (n * n))), ((bT * n) * bT) * n) * 6.671198"
27,0.7352887,"Lorentzian((n * -0.11391424) * ((((bL * 0.011141549) * (n * 0.9515055)) * (n * n)) * bL), (bT * (n * n)) * bT) * 6.6711936"
29,0.73528725,"Lorentzian(((n * (bL * -0.115781166)) * (n * (n * 0.8631427))) * ((-0.10990261 * (bL * n)) * -0.10989424), (n * bT) * (n * bT)) * 6.669774"
