Complexity,Loss,Equation
1,276.43433,"0.0050399224"
3,244.69547,"Lorentzian(n, 100.10743)"
4,171.5617,"expdecay(n * 0.69563687)"
5,170.82092,"Lorentzian(n, -23.32494) * 0.18233997"
6,167.5184,"expdecay(n * 0.5543237) * 0.39448437"
8,141.25545,"Lorentzian(bL, Lorentzian(-0.017640099, expdecay(n)) * 0.13409723)"
9,111.288315,"(Lorentzian(bL, n) * Lorentzian(bT, n)) * 2.6586416"
11,110.34331,"(Lorentzian(bL * -0.90718955, n) * Lorentzian(bT, n)) * 2.4475687"
12,80.733734,"gaussian((bT * -0.06109114) * bL) * (Lorentzian(n, -22.909496) * 0.3603476)"
14,27.652784,"expdecay(Lorentzian(Lorentzian(-2.3143437, n) * -5.092425, Lorentzian(bL, Lorentzian(0.002588067, Lorentzian(bT, -1.656356)))))"
15,27.50623,"expdecay(Lorentzian(-5.092425 * Lorentzian(-2.3143437, n), Lorentzian(bL, Lorentzian(gaussian(bT), Lorentzian(bT, -1.656356)))))"
16,6.788263,"expdecay(Lorentzian(Lorentzian(-1.2455924, n) * 1.7403322, Lorentzian(bL, Lorentzian(1.09249255e-32, Lorentzian(bT, n)))) * 0.33403346)"
17,3.2418432,"expdecay(Lorentzian(Lorentzian(-1.790234, n) * 2.1742175, Lorentzian(bL, Lorentzian(gaussian(n), Lorentzian(bT, n)))) * 0.35586277)"
19,3.1000435,"expdecay(Lorentzian(2.1742175 * Lorentzian(-1.790234, n), Lorentzian(bL, Lorentzian(gaussian(1.6841273 * bT), Lorentzian(bT, n)))) * 0.35586277)"
20,1.1273744,"2.9226408 * expdecay(Lorentzian(4.724292 * Lorentzian(-2.8227134, n), Lorentzian(bL, Lorentzian(6.382305e-5, Lorentzian(bT, n * 2.1903286))) * 3.107957))"
21,1.1273737,"2.9226408 * expdecay(Lorentzian(Lorentzian(-2.8227134, n) * 4.724292, Lorentzian(bL, Lorentzian(gaussian(n), Lorentzian(bT, 2.1903286 * n))) * 3.107957))"
23,1.0139805,"expdecay(Lorentzian(Lorentzian(-2.7821372, n) * 4.6735134, Lorentzian(bL, Lorentzian(gaussian(bT) * 0.11777237, Lorentzian(bT, n * 2.1456301))) * 3.0719047)) * 2.8446262"
30,1.0031234,"expdecay(Lorentzian(Lorentzian(-2.7823246, n) * 4.6733212, Lorentzian(bL, Lorentzian(Lorentzian(-2.731183, n * gaussian(bT)) * gaussian(bT * 0.88422376), Lorentzian(bT, n * 2.1459143))) * 3.0718799)) * 2.8445694"
