Complexity,Loss,Equation
1,276.43436,"0.005040239"
3,171.56172,"0.49875697 ^ n"
5,167.51819,"(0.5746149 ^ n) * 0.3932508"
7,167.49771,"(0.5002953 ^ n) * (n * 0.14997353)"
9,123.01521,"(n ^ -4.458686) * (65.053696 - (bL * bL))"
11,121.71446,"(n ^ -3.9953313) * (((bL * -0.40907127) * bL) + 27.066877)"
13,120.82972,"((n ^ -3.4227943) * (((bL * -0.13912444) * bL) + 10.125024)) + -0.0012472671"
15,37.487057,"((((bT * bT) + (bL * bL)) * -0.76711744) - -47.42312) * (n ^ -3.9935298)"
17,17.487152,"73.21337 / ((n * (n * ((bT * bT) - (3.2489028 - (bL * bL))))) * n)"
19,2.9976974,"(106.45491 / (((bT * bT) - (0.92167187 - (bL * bL))) * ((n * n) * n))) - 0.0025923878"
21,1.7699147,"((2490.3586 / (((n * n) * ((bT * bT) - (-8.699019 - (bL * bL)))) * 19.891954)) ^ 1.7369298) - 0.0011717597"
23,1.6237708,"((2490.3472 / ((n * ((bT * bT) - (-7.9045124 - (bL * bL)))) * (n * 21.062204))) ^ 1.724443) + (n * -0.00012502728)"
25,1.5396363,"(n * -0.0001239017) + ((2490.3477 / ((n * ((bT * (bT * 1.0327203)) - (-7.781588 - (bL * bL)))) * (n * 20.978142))) ^ 1.7225814)"
27,1.4951816,"(((2490.349 / ((((bT * (bT * 1.0384437)) - (-7.397431 - (bL * bL))) * n) * (n * 20.865452))) ^ 1.7464241) + (n * -0.0002225569)) - -0.0010574978"
29,1.4938635,"(n * -0.0002174235) + (((2490.3496 / ((n * n) * (((bT * (bT - (bT * -0.037954602))) - (-7.444831 - (bL * bL))) * 20.915789))) ^ 1.7424164) + 0.0009896988)"
