Complexity,Loss,Equation
1,2.818612,"0.0014140343"
3,2.2740393,"0.41853288 ^ n"
5,2.2102344,"(0.079074 / n) - 0.008379583"
7,2.2095084,"((0.7724611 ^ n) + -0.087740675) * 0.038395125"
9,1.9806672,"(0.43948293 ^ n) - ((bL * 5.5346827e-5) * bL)"
11,1.4860622,"(-0.11650606 / ((bL * (bL * -0.10708647)) - n)) - 0.010338303"
13,1.2714878,"0.054855544 / ((bL * bL) - ((bT * bT) / (n - 10.014094)))"
15,0.96921235,"0.058172848 / (((bL * (bL * -2.1381106)) - (bT * bT)) / (n - 9.811387))"
17,0.648717,"((-0.4932728 / (((bL * bL) * -1.5168638) - (bT * bT))) / (n - 4.374627)) + -0.002747371"
19,0.5744859,"((0.33578148 / ((((bL * -1.462005) * bL) - (bT * bT)) / (n - 11.50759))) - 0.02185392) / n"
21,0.54435354,"((0.2850371 / (((bL * ((bL * n) * -0.21205664)) - (bT * bT)) / (n - 12.218749))) - 0.02145646) / n"
23,0.5146037,"(((0.39272958 / ((((bL * (bL * -0.20485795)) * n) - (bT * bT)) / (n - 11.018208))) - 0.055870254) / n) + 0.0042748684"
25,0.48241878,"(((0.57965475 / (((((n * (bL * bL)) * -0.22786601) - (bT * bT)) - 4.501996) / (n - 10.943532))) - 0.08151905) / n) + 0.006732904"
27,0.4815111,"((((0.6208554 / ((((bL * ((bL * n) * -0.23216559)) - (bT * bT)) - 5.573865) / (n - 10.944254))) - 0.08603164) / n) + -0.44297916) - -0.45012432"
29,0.4783252,"(((-1.191478 / (((bL * ((n * bL) * -0.2316102)) - 5.201528) - (bT * (bT - -0.14956997)))) - 0.015213109) * ((1.3037738 / (n / 4.3118043)) + -0.5159076)) + -0.0006963734"
