Complexity,Loss,Equation
1,2.818612,"0.0014135574"
3,2.2740393,"0.4185334 ^ n"
4,2.2645128,"gaussian(n ^ 0.46237874)"
5,2.2102346,"(0.0790741 / n) - 0.008379585"
7,2.0169334,"exp(gaussian(bL / n) - n)"
8,1.5059564,"(gaussian(bL * -0.069579504) - 0.51292086) ^ n"
10,1.2286047,"(0.48966396 ^ n) * gaussian((bT * bL) * 0.079707004)"
11,1.2286046,"gaussian(bL * (bT * -0.07971307)) * exp(n * -0.7140073)"
12,1.049549,"(gaussian(((bL * -0.008355013) * bL) * bT) * 0.48993874) ^ n"
14,0.767965,"(0.55086434 ^ n) * gaussian(((bT * bT) + (bL * bL)) * 0.04918812)"
16,0.629444,"gaussian(((n - (bL * (bL * -0.11027561))) * 0.22012496) + gaussian(gaussian(bT / n)))"
17,0.5878559,"gaussian((n * 0.19430283) + ((0.53586054 / gaussian(bT / n)) - (bL * (bL * -0.025030324))))"
18,0.5396234,"gaussian((((n * 0.14239283) - ((bL * bL) * -0.021005718)) + gaussian(gaussian(bT / n))) * 1.3257326)"
20,0.45517567,"gaussian(gaussian(gaussian(bT / n)) + (((n + 2.9327676) - (bL * (bL * -0.14325285))) * 0.1506843)) + -0.0010652435"
22,0.45288768,"gaussian(gaussian(-0.08474349 - gaussian(bT / n)) + (((3.1763716 - ((bL * -0.13827938) * bL)) + n) * 0.15425913)) + -0.0010117822"
24,0.43678033,"gaussian(gaussian(gaussian(0.14397694 - ((bT - -0.9737336) / n))) + (((n + 2.7582817) - ((bL * -0.14031343) * bL)) * 0.15365419)) + -0.0010207167"
26,0.43231475,"gaussian((((n + 2.8321745) - ((bL * -0.1415008) * bL)) * 0.15227184) + gaussian(gaussian((0.26609242 - (bT / n)) - (1.8008975 / n)))) + -0.0010431017"
28,0.43223962,"gaussian((((n + 2.832364) - ((bL * bL) * -0.14092608)) * 0.15229315) + gaussian(gaussian(((1.5731767 / n) - 0.2529572) - ((-0.14092608 - bT) / n)))) + -0.0010625425"
