Complexity,Loss,Equation
1,501.62485,"0.0072055003"
3,456.84326,"n ^ -2.347816"
4,455.55325,"gaussian(n ^ 0.38729125)"
5,414.254,"0.026996074 / (bT * bT)"
6,390.7766,"(gaussian(bT) ^ 0.17753933) * 0.026455566"
7,245.46945,"(gaussian(bL) * gaussian(bT)) ^ 0.6392703"
9,162.03156,"((gaussian(bT) * gaussian(bL)) ^ 0.15176703) * 0.08864955"
11,28.529196,"(0.7358914 ^ n) * ((gaussian(bL) * gaussian(bT)) ^ 0.13159184)"
12,28.529177,"exp(n * -0.30662265) * ((gaussian(bL) * gaussian(bT)) ^ 0.13165887)"
13,23.404644,"((0.6878659 ^ n) * 1.752157) * ((gaussian(bL) * gaussian(bT)) ^ 0.13882627)"
15,18.978464,"(((gaussian(bL * -0.867079) * gaussian(bT)) ^ 0.16973938) * 1.8499017) * (0.68932396 ^ n)"
16,18.978453,"(gaussian(bT * -0.41193187) * gaussian(bL / 2.7993414)) * exp((n * -0.37195835) + 0.614072)"
17,14.616438,"(gaussian(bL * -0.36448118) * (gaussian(bT) + gaussian(bT * -0.3421701))) * exp(n * -0.33121964)"
18,13.317455,"(0.03709414 + (gaussian(bL / 2.5829506) * (gaussian(bT * 0.455886) * 2.095804))) * exp(n * -0.37230396)"
19,12.362188,"(gaussian(bT * -0.3251565) + gaussian(bT * 0.6829999)) * (gaussian(bL / -2.7444382) * exp(n * -0.35860538))"
20,10.728031,"(((0.55246377 ^ n) + (gaussian(bT * -0.45796332) * gaussian(bL / 2.5747244))) * 1.6947584) * exp(n * -0.34156957)"
21,10.378393,"(gaussian(bT) + gaussian(bT * ((n ^ 0.49430248) * 0.13220496))) * (gaussian(bL * -0.36969078) * exp(n * -0.32541195))"
22,7.6663,"(exp(n * -0.3192112) * ((gaussian(bT) + gaussian(bT * 0.37515894)) * gaussian(bL / -2.5477593))) + exp(0.8244116 - n)"
24,6.792489,"exp(n * -0.87928766) + ((exp(n * -0.343374) * gaussian(bL / -2.5495663)) * (gaussian(bT * 0.72151774) + gaussian(bT * 0.3618225)))"
26,6.4135447,"exp(n * -0.87627864) + ((gaussian(bT * 0.36163595) + gaussian(bT * 0.7292091)) * ((gaussian(bL / -2.609741) * exp(n * -0.3417064)) + -0.0011323126))"
27,6.35892,"(exp(n / -1.2772354) * gaussian(bL * -0.15899809)) + (((gaussian(bT) + gaussian(bT * -0.39294493)) * gaussian(bL / -2.49662)) * exp(n * -0.31609204))"
29,5.856851,"(((gaussian(bT * 0.40690297) * 1.2559829) + gaussian(bT)) * (exp(n * -0.33692577) * gaussian(bL / 2.4887269))) + (gaussian(bL / -6.5624294) * exp(n * -0.7886242))"
