Complexity,Loss,Equation
1,12.085071,"0.002037856"
3,9.355423,"0.4344618 ^ n"
4,9.246171,"gaussian(n ^ 0.45045424)"
5,9.166864,"(0.54493827 ^ n) * 0.23280989"
6,9.158652,"gaussian(n * 0.20497517) * 0.027123947"
7,9.094697,"(0.9590264 ^ bT) * (0.43397918 ^ n)"
8,6.604707,"(0.4870976 ^ n) * gaussian(bL * -0.21975388)"
9,6.4965653,"gaussian(bL * 0.21857522) * gaussian(n ^ 0.41282612)"
10,4.3974867,"(0.49897945 ^ n) * gaussian((bT * -0.077054575) * bL)"
11,4.3379073,"gaussian(n ^ 0.40452304) * gaussian((bT * bL) * 0.07647206)"
12,3.9895432,"(0.49565065 ^ n) * gaussian(bL * ((bT * 0.020000877) * bL))"
13,0.97648793,"((gaussian(bL * -0.1220616) * 0.6378759) ^ n) * gaussian(bT * 0.2938405)"
15,0.852946,"gaussian((bT + 0.17784089) * 0.29141304) * ((gaussian(bL * 0.12103461) * 0.635237) ^ n)"
17,0.8257052,"((gaussian(bT * 0.11072364) * 0.63125104) ^ n) * gaussian(((-1.0370315 ^ bT) * 0.31023467) * bL)"
19,0.7011638,"(((0.559518 ^ n) * (gaussian(bL * 0.3128102) + (bT * -0.018561265))) * gaussian(bT * 0.2899803)) * 2.3369915"
21,0.62505716,"((gaussian(bT * -0.32569933) + 0.04269674) * (gaussian(((1.0358208 ^ bT) * -0.32113352) * bL) * 2.561368)) * (0.5610017 ^ n)"
23,0.55614376,"(gaussian(bT * -0.32661155) + 0.043494042) * (((gaussian((1.0355139 ^ bT) * (-0.3125761 * bL)) * 1.9554254) * (0.5858608 ^ n)) + -0.0009922382)"
25,0.5533604,"((gaussian(((1.0383601 ^ bT) * bL) * -0.3117287) * ((0.58543414 ^ n) * 1.9453715)) + -0.000990857) * (gaussian((bT * -0.32478935) - -0.011088002) + 0.0430334)"
27,0.5377982,"(gaussian(((-1.0401425 ^ bT) * 0.30306497) * bL) * ((bL * (bL * -0.00050202484)) + ((0.602038 ^ n) * 1.6149484))) * (gaussian(bT * 0.32685986) + 0.043005724)"
29,0.53211653,"((gaussian(bT * 0.32685986) + 0.043005724) * (gaussian(bL * ((-1.0401425 ^ bT) * 0.30306497)) * (((bL * bL) * -0.00050202484) + ((0.602038 ^ n) * 1.6149484)))) + -6.582021e-5"
30,0.49134,"((gaussian(((1.0404384 ^ bT) * 0.32504776) * bL) * 2.911207) * (gaussian(bT * 0.33896345) + 0.044672634)) * ((0.554835 ^ n) + (gaussian(bT - (bL * bL)) * 0.0062914975))"
