Complexity,Loss,Equation
1,331.6118,"0.0075369254"
3,323.32944,"n ^ -2.351587"
4,250.88257,"gaussian(bT * 1.8411103)"
5,168.56038,"gaussian(bT) * gaussian(bL)"
7,121.956505,"(gaussian(bT) * gaussian(bL)) * 0.6981163"
9,54.113503,"(gaussian(bT) * (gaussian(bL) / n)) ^ 0.47151208"
11,41.246994,"(2.6226325 / n) * ((gaussian(bL) * gaussian(bT)) ^ 0.4332894)"
12,39.33633,"((gaussian(bT) * gaussian(bL)) * exp(n * -0.36889547)) ^ 0.40399152"
13,28.502129,"(gaussian(bL * 0.6056017) * 0.38921168) * gaussian((bT * n) * 0.09678778)"
15,23.497484,"(gaussian(n * (bL * 0.07645296)) * gaussian((n * 0.0910389) * bT)) * 0.34782302"
17,11.84295,"gaussian(bL * 0.551807) * exp((n * -0.15958701) * (((bT * bT) ^ 0.5127951) - -0.36080003))"
19,8.758526,"gaussian(bL * (n * -0.07226911)) * (exp(n * (((bT * bT) ^ 0.5405392) * -0.14751093)) * 0.59148806)"
21,7.4772596,"((exp((((bT * bT) ^ 0.56178427) * -0.14640933) * n) * 0.59333163) * gaussian((n * bL) * 0.074097894)) - -0.0015578321"
22,5.5062075,"((gaussian((bL * 0.055566855) * n) + gaussian(bL)) * exp(((bT * bT) ^ 0.5630702) * (n * -0.1405793))) * 0.32178944"
24,4.892396,"(((gaussian((n * 0.056863137) * bL) + gaussian(bL)) * 0.32110262) * exp(n * (((bT * bT) ^ 0.5771625) * -0.13995397))) + 0.0010906691"
26,4.3016233,"0.0011754326 + ((gaussian((n * bL) * -0.06221681) + (gaussian(bL) * 0.5833355)) * (0.39905003 * exp((((bT * bT) ^ 0.56413734) * -0.14391176) * n)))"
28,4.1908035,"((exp(((bT * bT) ^ 0.58545125) * ((n + -0.779476) * -0.15420154)) * ((gaussian(bL) * 0.68867016) + gaussian((n * bL) * -0.06112221))) * 0.36653686) + 0.0012124566"
30,4.0033827,"((gaussian(bL) / 4.85023) + 0.41835305) * ((0.45702726 ^ n) + (exp((n * -0.14027151) * ((bT * bT) ^ 0.5850238)) * gaussian(((-2.785904 / n) + 0.86323404) * bL)))"
