Complexity,Loss,Equation
1,331.6118,"0.0075388984"
3,323.32944,"n ^ -2.3513904"
5,319.778,"-0.002060939 / (-0.00333665 - bT)"
7,212.12859,"0.03628871 / ((bT * bT) - -0.058564965)"
9,201.29532,"0.3091766 / (((n * bT) * bT) - -0.49722633)"
11,73.38079,"0.19634794 / ((bT * bT) - (-0.29050088 - (bL * bL)))"
13,51.09808,"(-1.6962156 / ((-0.32981935 - (bL * bL)) - (bT * bT))) / n"
15,26.150759,"((-2.2194643 / ((-0.43935448 - (bL * bL)) - (bT * bT))) / n) - 0.007972317"
17,13.610584,"((10.83027 / (1.9183848 - (((bT * bT) / -0.7277993) - (bL * bL)))) / n) ^ 1.8323252"
19,9.88482,"((10.08837 / ((12.60038 / n) - (((bL * bL) * -0.6891738) - (bT * bT)))) / n) ^ 2.1360347"
21,3.6062894,"((73.597824 / ((95.39339 / n) - ((((bL * bL) * -0.7298623) - (bT * bT)) * n))) / n) ^ 2.0203054"
23,2.5149808,"((80.74004 / ((129.83693 / n) - (((((bL * -0.7173828) * bL) - (bT * bT)) * n) - -3.3427541))) / n) ^ 2.1154861"
25,2.2740982,"((26.35277 / ((28.1755 / n) - ((((bL * (bL * -0.7127066)) - (bT * bT)) * 0.27959028) * n))) / (n - -1.4729911)) ^ 2.1007657"
27,2.1991959,"(((26.352324 / ((28.258493 / n) - (n * ((bL * (bL * -0.21424627)) - (bT * (bT * 0.2992152)))))) / (n - -1.5032654)) ^ 2.0154276) - 0.0005003188"
29,2.1631272,"(((26.360825 / ((28.22142 / n) - ((((bL * -0.21559961) * bL) - (bT * (bT * 0.30083728))) * n))) / (n - -1.5287087)) ^ 2.0061402) + (n * -6.807405e-5)"
