Complexity,Loss,Equation
1,603.66614,"0.037375685"
3,522.8219,"0.6632634 ^ n"
4,474.17072,"gaussian(bT) * 0.20326696"
5,468.4058,"gaussian(bL) * gaussian(bT)"
6,339.15262,"(gaussian(bT) - -0.1991157) / n"
7,332.33905,"(gaussian(bL) * 0.69816375) * gaussian(bT)"
8,222.90392,"(0.6044158 - (gaussian(bT) * -0.3287156)) ^ n"
9,144.07916,"((gaussian(bL) * gaussian(bT)) + 0.04325701) * 0.58311963"
11,56.812958,"((gaussian(bT) * gaussian(bL)) * 0.5827209) + (0.6340446 ^ n)"
13,31.360235,"(0.61813253 ^ n) + (((gaussian(bL) * 0.5098964) + 0.05675983) * gaussian(bT))"
14,29.890408,"(gaussian(bT) * ((gaussian(bL) + 0.12575723) * 0.5071857)) + gaussian(-1.0898438 ^ n)"
15,20.177923,"(0.6092622 ^ n) + (((gaussian(bL) * 0.5035528) + (0.7166036 ^ n)) * gaussian(bT))"
16,19.781033,"((gaussian(1.0622712 ^ n) + (gaussian(bL) * 0.5035528)) * gaussian(bT)) + (0.6095859 ^ n)"
17,14.798053,"(gaussian(bT) * (((gaussian(bL * 0.29414988) * 0.921634) ^ n) + 0.037139867)) + (0.61062115 ^ n)"
23,14.640228,"(gaussian(bT) * (((0.7932313 ^ n) + gaussian(((-4.0676293 / n) + 1.4107063) * (bL ^ n))) * 0.47515404)) + (0.6088613 ^ n)"
25,14.115596,"((gaussian(bT) * ((0.7824807 ^ n) + gaussian((-2.1397798 / n) + ((bL * 1.2115273) * bL)))) + (0.6646704 ^ n)) * (n ^ -0.32028183)"
26,13.689136,"((((0.7179658 ^ n) + (gaussian(bL) * 0.48956475)) * gaussian(bT)) + (0.5929175 ^ n)) + ((((gaussian(bL) / n) * bL) * 0.24557407) * bL)"
27,13.4054165,"(n ^ -0.3294067) * ((0.656891 ^ n) + ((gaussian((bL * (bL * 1.2246876)) + (-2.2348456 / n)) + (0.7896632 ^ n)) * (gaussian(bT) + 0.009339549)))"
28,11.375298,"((bL * (gaussian(bL * -0.6045894) ^ n)) * (bL * 0.20420143)) + ((0.59444195 ^ n) + (((gaussian(bL) * 0.48389557) + (0.7231889 ^ n)) * gaussian(bT)))"
29,11.366694,"(((bL * (gaussian(-0.6045894 * bL) ^ n)) * bL) * gaussian(-1.2488277)) + ((0.59444195 ^ n) + (((gaussian(bL) * 0.48389557) + (0.7231889 ^ n)) * gaussian(bT)))"
30,11.166312,"(bL * (bL * ((gaussian(bL * -0.5629893) ^ n) * 0.14448446))) + ((0.59403616 ^ n) + (((0.72152644 ^ n) + ((n ^ -0.34270814) * gaussian(bL))) * gaussian(bT)))"
