Complexity,Loss,Equation
1,72.06161,"0.0032768492"
3,48.894337,"0.46930006 ^ n"
4,48.032707,"gaussian(n ^ 0.42542788)"
5,47.964375,"(0.55174387 ^ n) * 0.34844214"
7,47.96425,"-2.1624459e-5 - ((0.5536844 ^ n) * -0.34166667)"
8,34.85521,"(0.5131771 ^ n) * gaussian(bL * 0.18908916)"
9,34.855206,"gaussian(bL * -0.18910573) / exp(n / 1.4990122)"
10,19.661474,"(0.52901936 ^ n) * gaussian(bL * (bT * 0.06986224))"
12,19.322485,"((gaussian(bT * (bL * 0.027145823)) * 0.58271927) ^ n) * 0.5223918"
13,2.0874212,"gaussian(bT * -0.27025175) * ((gaussian(bL * 0.105371736) * 0.6437557) ^ n)"
15,1.937824,"((gaussian(bL * 0.10755565) * 0.6181456) ^ n) * (gaussian(bT * -0.27443203) * 1.3801901)"
17,1.4462242,"(((gaussian(bT * -0.3160306) + 0.05507051) * 2.8867776) * (0.56432986 ^ n)) * gaussian(bL * -0.2891226)"
18,1.4454195,"(gaussian(bT * 0.31576806) + 0.05535965) * ((2.8443968 * gaussian(bL * -0.28886425)) / exp(n * 0.5703054))"
19,1.1528696,"(0.56481576 ^ n) * ((((gaussian(bT * 0.33478504) + 0.03626781) * 3.3761752) * gaussian(bL * 0.31010965)) + 0.04638144)"
21,1.0111234,"(0.3544249 ^ n) + ((((gaussian(bT * 0.3344677) + 0.034529828) * 2.6667936) * (0.5854008 ^ n)) * gaussian(bL * 0.31074733))"
23,1.005089,"((gaussian(bL * 0.30957446) * (((gaussian(bT * 0.3330482) + 0.034553677) * 2.692737) * (0.5838758 ^ n))) + (0.35343295 ^ n)) + -6.0664457e-5"
25,0.99268126,"(((n - 0.9760249) ^ -2.3862631) + ((gaussian(bT * 0.33928785) + 0.029786764) * (gaussian(bL * 0.31105572) - 0.011919162))) * ((0.5824115 ^ n) * 2.9068596)"
27,0.97644407,"(((n - 0.9750083) ^ -2.3862526) + ((gaussian(bL * 0.31107742) - 0.011863512) * (gaussian((bT + -0.024268014) * -0.33951578) + 0.029968085))) * ((0.58242273 ^ n) * 2.9068663)"
30,0.9475707,"(((gaussian(bT * -0.3386553) + 0.03516098) * gaussian(bL * 0.31539872)) + ((n - gaussian(((bL * bL) * 0.04551931) - 1.0954335)) ^ -2.4004548)) * ((0.5794229 ^ n) * 2.969854)"
