Complexity,Loss,Equation
1,5.315548,"-0.0006056311"
3,4.8105245,"-0.0054272856 / n"
4,4.4338617,"-0.7604061 / exp(n)"
5,4.108133,"(0.58595026 ^ n) * -0.04079691"
7,4.107921,"((0.5980736 ^ n) * -0.036595754) + 2.7862074e-5"
8,3.8714113,"-0.029829826 / (exp(n * 0.49264124) - bT)"
9,3.7113955,"((bT * -0.002624524) + -0.03873631) * (0.5914708 ^ n)"
10,3.653922,"((0.5836925 ^ n) * gaussian(bT * 0.17302188)) * -0.0861015"
11,3.5449162,"(gaussian((bT * bL) * 0.052417263) / exp(n)) * -1.3889614"
12,2.8747466,"((gaussian(bL / -2.789553) / n) / bT) * (-0.30419225 / bT)"
13,2.2633035,"((-42.71202 / (bT * exp(n))) * gaussian(bL * 0.34923062)) / bT"
14,1.6862003,"(((gaussian(bL * -0.3554861) / bT) / bT) / n) / (4.2188487 - n)"
16,1.5247561,"(((gaussian((bL * -0.09497241) * bL) / bT) / bT) / (3.9792595 - n)) / n"
18,1.4159044,"(((gaussian(bL * -0.29694027) / (bT - (-1.9079021 / bT))) / bT) / n) / (4.3166504 - n)"
19,1.3799444,"((gaussian(1.1205282 / bT) / (4.257771 - n)) * ((gaussian(bL * -0.2952537) / n) / bT)) / bT"
20,1.2298098,"((((((1.7323452 / bT) - -0.068869114) / bT) / (2.9496732 - n)) / n) - -0.0007046623) * gaussian(bL / bT)"
21,1.1207492,"((((gaussian(bL * 0.28924742) / bT) - -0.02367698) / bT) / n) * (gaussian(1.2160295 / bT) / (4.271487 - n))"
22,0.9900174,"((((gaussian(bL * 0.28853086) / (bT - (1.5226122 / (1.0851692 - bT)))) - -0.023269907) / bT) / n) / (4.2665467 - n)"
23,0.94167614,"((((gaussian(bL * 0.2790807) / bT) - -0.030010268) * (gaussian(1.320303 / (0.59653074 - bT)) / bT)) / n) / (4.2862325 - n)"
25,0.78839695,"(((((gaussian(bL * 0.24925895) / bT) - -0.039622642) / bT) * gaussian(bL * (0.43238202 / (0.78109044 - bT)))) / (4.0686975 - n)) / n"
27,0.6556364,"gaussian(bL * (0.48117766 / (bT - 0.72500736))) * ((((((gaussian(bL * -0.22082551) / bT) - -0.040029585) / bT) / (4.1876373 - n)) / n) - -0.00024313485)"
29,0.6317217,"gaussian((bL * 0.51455885) / (bT - 0.75186634)) * (((((((gaussian(bL * 0.21450205) / bT) - -0.03942781) / bT) / (3.6820614 - n)) / n) - -0.00027294937) / 0.77281356)"
