Complexity,Loss,Equation
1,72.06161,"0.0032762734"
4,48.894337,"exp(n * -0.7565037)"
6,47.964363,"exp(n * -0.5947814) * 0.34859115"
8,47.96429,"(exp(n * -0.59098613) * 0.34110057) + -1.7618939e-5"
9,34.855213,"exp(n * -0.6671395) * gaussian(bL * 0.18906099)"
11,19.661575,"gaussian(0.069767 * (bL * bT)) * exp(n * -0.6369349)"
13,19.395048,"exp((n * -0.5748484) + -0.41456997) * gaussian((bL * bT) * 0.06969899)"
14,3.5950823,"exp(n * -0.4622217) * (gaussian(bL * 0.26012293) * gaussian(bT * 0.25689992))"
15,3.3035011,"(gaussian(bT * (-0.04591043 * n)) * 0.0724722) * gaussian((n * bL) * -0.044376846)"
16,2.0271962,"(exp(n * -0.57127583) * (gaussian(bL * -0.27661204) * 2.5281966)) * gaussian(bT * -0.27449057)"
18,1.4453351,"(gaussian(bL * 0.288659) * ((gaussian(bT * 0.3153291) * 2.8194742) + 0.15510322)) * exp(n * -0.56944215)"
20,1.151559,"((((gaussian(bT * -0.3336168) + 0.03542244) * gaussian(bL * 0.30961102)) * 3.3126814) + 0.0461764) * exp(n * -0.56926304)"
22,1.0310329,"(((((gaussian(bT * -0.3341749) + 0.035292774) * gaussian(bL * 0.31023782)) + 0.020888325) * 2.6670523) * exp(n * -0.5357667)) + -0.00044412984"
23,1.0095662,"((exp(n * -0.66099674) + (gaussian(bL * 0.31034434) * (gaussian(bT * -0.33409888) + 0.035156853))) * exp(n * -0.53063077)) * 2.5746608"
24,0.9922026,"((n * -0.017398573) + (0.15040126 + ((gaussian(bL * 0.31028038) * (gaussian(bT * 0.33430064) + 0.03560627)) * 2.4675121))) * exp(-0.52413684 * n)"
25,0.99176157,"(exp(n * -0.5265993) * (exp(n * -0.49783278) + ((gaussian(bT * 0.33454996) + 0.035673536) * (2.5150063 * gaussian(bL * -0.3103582))))) + -0.00012527332"
26,0.97713107,"((gaussian(bL * 0.3103762) * (2.4864075 * (gaussian((bT * 0.33435693) + -0.007928861) + 0.035351187))) + ((-0.017375411 * n) + 0.15059137)) * exp(n * -0.52506787)"
27,0.97661203,"((exp(n * -0.4978238) + ((2.515118 * gaussian(bL * 0.3104584)) * (gaussian((bT * 0.33440763) + -0.00789904) + 0.035211895))) * exp(n * -0.5265336)) + -0.00012118954"
28,0.952138,"exp(n * -0.536687) * ((gaussian(bL * -0.31731573) * (gaussian((bT * -0.23565845) + 0.018608917) + (gaussian(bT * 0.41006696) * 2.0992317))) + exp(n * -0.48740742))"
30,0.94048846,"((gaussian(bL * -0.31664854) * ((gaussian(bT * 0.38781986) * 2.3260262) + (gaussian((bT + -0.119143836) * -0.21463223) * 0.69748014))) + exp(n * -0.4913032)) * exp(n * -0.5350885)"
