Complexity,Loss,Equation
1,59.488773,"0.0030561313"
3,37.65905,"0.46491036 ^ n"
5,36.876057,"(0.5443193 ^ n) * 0.35859895"
7,36.875683,"((0.54859746 ^ n) * 0.3432017) + -4.261831e-5"
9,27.360447,"((bT * bT) ^ -0.37962914) * (0.5290363 ^ n)"
11,26.576002,"(0.5419078 ^ n) * ((bL * (bL * -0.009190128)) + 0.5575692)"
13,26.543545,"(0.5519436 ^ n) * (((bT * (bT / 0.6553276)) ^ -1.273118) + 0.25351366)"
15,6.6069555,"(0.5455987 ^ n) * ((((bL * bL) + (bT * bT)) * -0.01672645) + 0.97997177)"
17,5.1573596,"((((bL * bL) + (bT * (bT / 0.76566064))) * -0.015540889) + 1.0101737) * (0.54706013 ^ n)"
19,3.5790868,"(((bT * bT) ^ -0.09065594) + (((bT * bT) + (bL * bL)) * -0.013322463)) * (0.55752707 ^ n)"
21,3.2893763,"(0.5608138 ^ n) * ((((bL * bL) + (bT * (bT / 1.3051653))) * -0.012933651) + ((bT * bT) ^ -0.13430606))"
23,2.3654258,"(0.5690283 ^ n) * (((bT * bT) ^ -0.11239588) + (((bT * (bT * 0.2458741)) + ((bL * bL) ^ 0.7178145)) * -0.040828925))"
25,2.2429554,"((0.5712489 ^ n) * (((((bL * bL) ^ 0.71315026) + ((bT * 0.2389601) * bT)) * -0.0408822) + ((bT * bT) ^ -0.11182299))) + -0.0003325285"
27,1.8546635,"(0.5765149 ^ n) * (((bT * bT) ^ -0.11273411) + ((((bL * bL) ^ 0.66511136) + ((-0.9913262 ^ bL) + ((bT * bT) * 0.22145519))) * -0.048036482))"
29,1.6662447,"((0.57948816 ^ n) * ((((((bL * bL) ^ 0.655413) + (-0.99176157 ^ bL)) + ((bT * bT) * 0.21159382)) * -0.0488817) + ((bT * bT) ^ -0.111708805))) + -0.00041684395"
