Complexity,Loss,Equation
1,59.488773,"0.0030559688"
4,37.659054,"exp(n * -0.7659861)"
6,36.876057,"exp(n * -0.6079768) * 0.35797232"
8,36.875782,"(exp(n * -0.5984782) * 0.33952358) + -5.7252604e-5"
9,26.909166,"exp(n * -0.53726393) * (gaussian(bT) + 0.19337761)"
11,13.614436,"exp(n * -0.65018374) * gaussian((bT * bL) * 0.06641486)"
13,13.408887,"gaussian((bT * bL) * 0.066210575) * (0.6738003 * exp(n * -0.59110194))"
14,2.388999,"(exp(n * -0.49433002) * gaussian(bT * -0.24488313)) * gaussian(bL * 0.23548417)"
16,1.3027971,"((exp(n * -0.5976074) * gaussian(bL * 0.2526201)) * gaussian(bT * -0.25877205)) * 2.3872497"
18,0.92799807,"(gaussian(bT * -0.296824) + 0.062074427) * (gaussian(bL * -0.26394963) * gaussian((n * -0.16355306) + -0.63980883))"
20,0.8958904,"((gaussian(bL * -0.2779574) * (gaussian(0.30713052 * bT) + 0.050189655)) + 0.009425228) * gaussian((n * -0.16638687) + -0.5902747)"
22,0.8825794,"((gaussian(bL * -0.2779574) * (gaussian((bT + -0.029754851) * 0.30713052) + 0.050189655)) + 0.009425228) * gaussian((n * -0.16638687) + -0.5902747)"
23,0.81962126,"gaussian(n * 0.4407349) + ((0.05680788 + gaussian(bT * -0.3021892)) * (gaussian(bL * -0.26969868) * gaussian((-0.16009505 * n) + -0.6534289)))"
25,0.7864304,"(gaussian((n * -0.16681075) + -0.46849427) * ((gaussian(bT * -0.31060112) + 0.051511902) * (gaussian(bL * -0.27987844) * 0.6931049))) + gaussian(n * -0.43212584)"
27,0.7756029,"gaussian(n * -0.43422616) + (((gaussian((bT * 0.30792934) + -0.0090995375) + 0.053248875) * 0.66341215) * (gaussian((n * -0.16716352) + -0.4618202) * gaussian(bL * -0.27662116)))"
