Complexity,Loss,Equation
1,13.145569,"0.0015898439"
3,10.704839,"0.48224747 ^ n"
4,10.667481,"gaussian(n ^ 0.4258861)"
5,10.66608,"(0.5302641 ^ n) * 0.45144057"
6,10.638983,"(gaussian(bT) * 0.008557793) + 0.0013294464"
7,7.5530624,"(gaussian(bL) * gaussian(bT)) ^ 0.31419316"
8,7.446172,"gaussian((bT * bL) * 0.07127972) * 0.0036029483"
9,5.388096,"((gaussian(bT) * gaussian(bL)) ^ 0.08272535) * 0.016259687"
10,3.6995547,"(0.53125536 ^ n) * gaussian((bL * -0.070545144) * bT)"
11,1.2157423,"(0.621154 ^ n) * ((gaussian(bT) * gaussian(bL)) ^ 0.07336206)"
13,0.96411866,"(gaussian(bT * -0.09912399) * (0.6354478 * gaussian(-0.09844741 * bL))) ^ n"
15,0.9365757,"(((gaussian(bL * -0.10869685) * 0.65563655) * gaussian(bT * -0.109746695)) ^ n) + 0.00026815178"
17,0.7955153,"n * (((gaussian(bT * 0.31925136) + 0.050880305) * gaussian(bL * -0.29252806)) * (0.49694607 ^ n))"
20,0.7204054,"((gaussian(bT * -0.08556247) * (gaussian(bL * -0.083703615) * 0.61406606)) ^ n) * gaussian((bT * -0.049479708) * bL)"
22,0.6530591,"(gaussian((bT + -0.18936212) * -0.22693813) * ((gaussian(bL * -0.07352571) * 0.59953815) ^ n)) * gaussian((bL * -0.054934096) * bT)"
24,0.57910454,"gaussian((bT + -0.35182828) * -0.23185581) * (gaussian(((bT * -0.0525754) + -0.030495703) * bL) * ((gaussian(bL * 0.07488724) * 0.6021723) ^ n))"
25,0.5619365,"gaussian((bT + -0.38479587) * 0.23487519) * (gaussian(((n + ((bT * (bT + 1.3821536)) * 0.19592199)) * bL) * -0.02660944) * (0.60490394 ^ n))"
26,0.55206996,"(gaussian((bT + -0.3779847) * -0.23047926) * (((gaussian(bL * -0.07476702) * 0.5731225) ^ n) * 1.5133913)) * gaussian((bL * (bT + 0.5442324)) * -0.054000538)"
28,0.50491947,"((gaussian(bL * (bT * 0.05425891)) * gaussian((((-1.0081961 ^ bL) * -0.29520187) + bT) * -0.23086497)) * 1.6241829) * ((gaussian(bL * -0.07506182) * 0.56847316) ^ n)"
