Complexity,Loss,Equation
1,13.145569,"0.0015898439"
3,10.704839,"0.48224747 ^ n"
4,10.667482,"gaussian(n ^ 0.42588452)"
5,10.666082,"(0.52991676 ^ n) * 0.45390537"
6,10.638984,"(gaussian(bT) * 0.008555882) + 0.0013294044"
7,7.553062,"(gaussian(bL) * gaussian(bT)) ^ 0.31418696"
8,7.446172,"gaussian(bL * (bT * 0.07128318)) * 0.003602995"
9,5.388095,"((gaussian(bT) * gaussian(bL)) ^ 0.082653865) * 0.016237155"
10,4.058299,"(gaussian(bL) * (gaussian(bT) * gaussian(n))) ^ 0.060922302"
11,1.215811,"(0.62152106 ^ n) * ((gaussian(bL) * gaussian(bT)) ^ 0.07365343)"
13,0.95947635,"((gaussian(bL) * gaussian(bT)) ^ 0.081695214) * ((n ^ -5.5268445) * 2790.9666)"
15,0.8792431,"(n ^ -5.5335555) * ((((gaussian(bT) * gaussian(bL)) ^ 0.10915769) + 0.012935848) * 4276.587)"
17,0.8751762,"(((((gaussian(bT) * gaussian(bL)) ^ 0.11220448) + 0.015671954) * (n ^ -5.418279)) * 3527.221) + -9.243246e-5"
18,0.84056014,"(n ^ -5.594341) * ((((gaussian(bT) * gaussian(bL)) ^ 0.08750103) + (gaussian(bL) * 0.030323576)) * 3528.5098)"
19,0.815309,"(((((gaussian(bL) * gaussian(bT)) ^ 0.11321527) * (1.0217847 ^ bT)) + 0.013099743) * 4203.209) * (n ^ -5.495158)"
20,0.7178965,"((gaussian(bT) * gaussian(bL)) ^ 0.056227133) * (((n ^ -5.525746) * gaussian(bT * (bL * 0.050408814))) * 1964.6162)"
22,0.64623827,"((gaussian((bL * bT) * 0.049884617) * (((gaussian(bL) * gaussian(bT)) ^ 0.09105833) + 0.041657608)) * 2809.801) * (n ^ -5.4877024)"
24,0.63746953,"((((((gaussian(bL) * gaussian(bT)) ^ 0.095911935) + 0.04138789) * 3317.0276) + bT) * (n ^ -5.531645)) * gaussian((bT * -0.049683455) * bL)"
26,0.5656927,"(n ^ -5.6157284) * (((((1.0276804 ^ bT) * ((gaussian(bT) * gaussian(bL)) ^ 0.09824606)) + 0.041859232) * 4102.183) * gaussian((bT * bL) * 0.050573543))"
28,0.48140982,"((n ^ -5.5814486) * ((1.0432564 ^ bT) * (gaussian(((-1.0982836 ^ bT) * (bT * bL)) * -0.046365615) * 2323.3044))) * ((gaussian(bL) * gaussian(bT)) ^ 0.05901429)"
30,0.42636356,"(((1.0407726 ^ bT) * (gaussian(bL * (((-1.0808047 ^ bT) * -0.04785607) * bT)) * 2423.3923)) * (n ^ -5.4465284)) * (((gaussian(bT) * gaussian(bL)) ^ 0.08657333) + 0.039421327)"
