Complexity,Loss,Equation
1,18.591244,"0.0017401527"
3,15.919922,"0.48719972 ^ n"
4,15.867744,"gaussian(n ^ 0.4226812)"
5,15.866902,"(0.53935564 ^ n) * 0.42592746"
6,15.866786,"gaussian(n ^ 0.42565364) * 1.0812951"
8,12.020497,"gaussian(bL * 0.20896487) * (0.52626604 ^ n)"
10,6.7980704,"gaussian((bL * bT) * 0.07536493) * (0.5391928 ^ n)"
12,6.7785406,"gaussian(((bL + 0.39485162) * bT) * 0.07737035) * (0.54024494 ^ n)"
13,1.2028697,"gaussian(bT * 0.31215292) * ((gaussian(bL * -0.10968223) * 0.66187537) ^ n)"
15,1.1337132,"gaussian(bL * -0.32214287) * ((0.5491027 ^ n) * (gaussian(bT * 0.3153451) * 5.058435))"
17,0.8465815,"((gaussian(bL * -0.11552289) * 0.6796736) ^ n) * (gaussian(bT * -0.36189258) + (0.6846172 ^ n))"
19,0.8129312,"(((gaussian(bL * -0.11619443) * 0.6518918) ^ n) * 1.442762) * ((0.68095213 ^ n) + gaussian(bT * -0.36353657))"
21,0.8082709,"(((gaussian(bL * -0.11587492) * 0.6456223) ^ n) * 1.4507922) * ((0.6836552 ^ n) + (gaussian(bT * -0.36231092) * 1.0756309))"
22,0.79040134,"(gaussian((bT + -0.093209594) * -0.32974154) + 0.03654736) * ((0.6131738 ^ n) * (gaussian(bL * 0.49140373) + gaussian(bL * -0.25233582)))"
24,0.78921103,"(0.61666024 ^ n) * ((gaussian(bL * -0.24835008) + gaussian(bL * (bL * 0.19530101))) * (gaussian((bT + -0.010905258) * -0.339458) + 0.037215274))"
26,0.6583376,"(gaussian((bL * bL) * 0.19242929) + gaussian(bL * -0.25003588)) * ((0.61800206 ^ n) * (gaussian((bT + -0.088910274) * -0.34157372) + (0.676716 ^ n)))"
