Complexity,Loss,Equation
1,18.591244,"0.0017401527"
3,15.919924,"0.48719004 ^ n"
4,15.867874,"gaussian(n ^ 0.42274696)"
5,15.866943,"(0.5382738 ^ n) * 0.4334479"
6,15.243244,"gaussian(bL * -0.21434891) * 0.0034041365"
8,12.02065,"(0.52608806 ^ n) * gaussian(bL * 0.2083698)"
9,6.4025955,"((gaussian(bL) * gaussian(bT)) ^ 0.10962232) * 0.027475266"
11,6.4024634,"(((gaussian(bT) * 1.0802929) * gaussian(bL)) ^ 0.10930848) * 0.027154813"
13,1.2928038,"((gaussian(bT * -0.10916729) * 0.66530776) ^ n) * (gaussian(bL) ^ 0.10377457)"
14,1.1873592,"gaussian(n * -0.17693107) * (((gaussian(bL) * gaussian(bT)) ^ 0.10348167) * 0.30666357)"
15,1.1340157,"(0.5609546 ^ n) * ((gaussian(bT * 0.3161079) * (gaussian(bL) ^ 0.10415446)) * 4.247069)"
17,0.8766508,"(((gaussian(bT * -0.35712102) * n) + 0.3289493) * (gaussian(bL) ^ 0.11166981)) * (0.526695 ^ n)"
19,0.7883266,"(0.5307225 ^ n) * ((((gaussian(bT * 0.36381847) * n) + 0.23291522) * (gaussian(bL) ^ 0.11886155)) + 0.06744263)"
21,0.72469324,"(0.5307225 ^ n) * ((((gaussian((bT + -0.07394429) * 0.36381847) * n) + 0.23291522) * (gaussian(bL) ^ 0.11886155)) + 0.06744263)"
23,0.6750517,"((n * (((gaussian(bL) ^ 0.120585166) * (gaussian((bT + -0.079673834) * 0.3660958) + 0.026625706)) + -0.05427059)) + 0.5198935) * (0.5326321 ^ n)"
26,0.66598845,"(gaussian((n * 0.3539248) + 0.10388813) + ((gaussian(bL) ^ 0.120724455) * (0.5274581 ^ n))) * ((n * gaussian((bT + -0.07441346) * 0.35791975)) + 0.30956504)"
28,0.66509724,"(gaussian((n * 0.3539248) + (n ^ -1.0726074)) + ((gaussian(bL) ^ 0.120724455) * (0.5274581 ^ n))) * ((n * gaussian((bT + -0.07441346) * 0.35791975)) + 0.30956504)"
