Complexity,Loss,Equation
1,18.591244,"0.0017401527"
3,15.919922,"0.48719993 ^ n"
4,15.867694,"gaussian(n ^ 0.4225993)"
5,15.866953,"(0.53810257 ^ n) * 0.43449315"
6,15.243243,"gaussian(bL * -0.21437132) * 0.0034036546"
8,11.061707,"gaussian(bL * (bT * 0.076523535)) * 0.004115963"
10,6.7981596,"(0.5390917 ^ n) * gaussian((bL * bT) * -0.07539819)"
12,6.778431,"(0.5401991 ^ n) * gaussian((bL + 0.38545835) * (bT * 0.07721581))"
13,1.079498,"((gaussian(bT * 0.10987147) * gaussian(bL * 0.11183557)) * 0.66812533) ^ n"
15,0.95431125,"(((gaussian(bL * -0.11850294) * 0.68105614) * gaussian(bT * 0.11841233)) ^ n) + 0.00033658795"
17,0.8411782,"((0.55530006 ^ n) * gaussian(bL * 0.3358193)) * ((gaussian(bT * 0.3593115) * 5.556073) + 0.20525289)"
19,0.784331,"(0.55304396 ^ n) * (gaussian(bL * 0.33463106) * ((gaussian((bT + -0.0738266) * 0.35799202) * 5.637785) + 0.21721962))"
24,0.74048364,"gaussian((bL + -0.80948406) * bT) + ((gaussian(bL * 0.3014147) * ((gaussian(bT * 0.33153906) * 4.866058) + 0.24907953)) * (0.53723574 ^ n))"
