Complexity,Loss,Equation
1,18.591244,"0.0017401528"
3,15.919922,"0.4871945 ^ n"
4,15.867694,"gaussian(n ^ 0.4226141)"
5,15.866902,"(0.53938115 ^ n) * 0.425761"
7,15.8666935,"((0.52482474 ^ n) + 0.00015440938) * 0.5160688"
8,12.02058,"(0.52614397 ^ n) * gaussian(bL * -0.20842008)"
9,12.020467,"(gaussian(bL * -0.2611266) / exp(n)) ^ 0.64175177"
10,6.798071,"(0.53919244 ^ n) * gaussian((bT / -13.269696) * bL)"
12,6.7861023,"(0.5408528 ^ n) * (gaussian((bT * bL) / -13.732185) + -0.029996974)"
14,1.5459844,"((gaussian(bL * 0.48109895) / exp(n)) ^ 0.423944) * gaussian(bT * 0.30282742)"
16,1.1662788,"gaussian(bT * -0.3252548) * (gaussian(bL * -0.3289608) * ((23.7548 / exp(n)) ^ 0.6348835))"
18,1.1035836,"gaussian((bT + -0.069556326) * -0.3252548) * (gaussian(bL * -0.3289608) * ((23.7548 / exp(n)) ^ 0.6348835))"
20,1.0305054,"(gaussian(bT + (bT * -0.6632661)) * (((gaussian(bL * -0.42471534) * 25.973602) / exp(n)) ^ 0.63560957)) + 0.00027740232"
22,0.84147155,"((gaussian(bL * -0.4375724) * (25.967922 / exp(n))) ^ 0.59511906) * (0.8683901 * (gaussian((bT * -0.63716817) + bT) + 0.03786295))"
24,0.81288147,"(((gaussian((bT * -0.62661886) + bT) + 0.031108886) * (((gaussian(bL * -0.44247496) * 25.971483) / exp(n)) ^ 0.6165629)) * 1.0597382) + 0.00016341971"
26,0.8097979,"((((gaussian((bT * -0.6311239) + bT) + 0.031697717) * 0.7394422) * (((gaussian(bL * -0.4380632) * 25.971395) / exp(n)) ^ 0.61903423)) * 1.402588) + 0.00018088083"
28,0.7975613,"gaussian(bL * 0.33976993) * ((gaussian((((bT + (bT * -0.66746485)) * 1.1132609) + (bT * -0.7379074)) + 0.02601421) + 0.03859584) * ((26.046898 / exp(n)) ^ 0.6158332))"
