Complexity,Loss,Equation
1,501.62488,"0.0072041447"
3,456.84332,"n ^ -2.3477955"
4,455.55325,"gaussian(n ^ 0.38729087)"
5,454.10825,"(n ^ -2.185156) + -0.0033091556"
6,390.77664,"gaussian(bT * -0.42131048) * 0.026453586"
7,245.46945,"(gaussian(bL) * gaussian(bT)) ^ 0.6392703"
9,162.03143,"((gaussian(bT) * gaussian(bL)) ^ 0.15171304) * 0.088601775"
11,83.8357,"(gaussian(bL * -0.39168847) * gaussian(bT * -0.4718918)) / n"
13,81.12646,"((gaussian(bL * 0.36524844) * 0.8215506) * gaussian(bT * -0.4285372)) / n"
14,24.412403,"((gaussian(n * 0.41489527) * (gaussian(bT) * gaussian(bL))) ^ 0.14040257) * 0.43395153"
15,19.831598,"((2.2669668 / n) + -0.1846687) * (gaussian(bT * -0.41286525) * gaussian(bL * 0.35779065))"
17,19.831518,"(exp(bT * (bT * -0.17033283)) * gaussian(bL * 0.35772574)) * ((2.265286 / n) + -0.18452103)"
19,14.193922,"((4.636414 / n) + -0.37777194) * (((gaussian(bT * 0.4568584) * gaussian(bL * 0.38756162)) * 0.55311066) + 0.009758373)"
22,11.0646,"gaussian((-11.519984 / n) + 3.2978296) * ((((n + -4.5431848) * gaussian(bL * -0.38994104)) * gaussian(bT * -0.45914105)) + 0.039711915)"
24,10.740767,"(gaussian((-11.048284 / n) + 3.2483435) * ((gaussian(bL * -0.3886808) * (gaussian(bT * -0.45729622) * (n + -4.439771))) + 0.048976585)) + -0.00053319935"
27,7.9592404,"gaussian((-11.522699 / n) + 3.2796464) * ((((n + -4.608532) * gaussian(bL * -0.3967292)) * gaussian(bT * -0.48355046)) + (gaussian(bL * -0.19032437) * 0.07520876))"
30,7.9507613,"(((gaussian(n) + gaussian(bL * 0.35050064)) * (gaussian(bT * -0.48436397) * (n + -4.5526366))) + 0.07713871) * (gaussian((-11.330709 / n) + 3.2602758) * gaussian(bL * 0.18756023))"
