Complexity,Loss,Equation
1,72.061615,"0.0032768582"
3,48.894337,"0.46930006 ^ n"
4,48.032715,"gaussian(n ^ 0.42542538)"
5,47.96441,"(0.5516152 ^ n) * 0.3491935"
8,34.855324,"(0.5130883 ^ n) * gaussian(bL * 0.18876417)"
10,19.661549,"(0.5289521 ^ n) * gaussian(bT * (bL * -0.069888204))"
12,19.338324,"((gaussian((bT * bL) * -0.027258316) * 0.5750571) ^ n) * 0.57203686"
14,10.669098,"((gaussian(bL * 0.26992387) / exp(n)) * gaussian(bT * 0.2683754)) * 35.12348"
16,3.6110127,"(gaussian(bL * -0.27787158) * n) * ((n * gaussian(bT * 0.27631325)) / exp(n))"
18,2.0347452,"((gaussian(bL * -0.34127644) * ((gaussian(bT * -0.3397196) * n) / exp(n))) ^ 0.65786123) * 1.3027169"
24,1.653489,"(((gaussian(bL * -0.28666443) / exp(n)) / (0.9433031 / n)) * (((n + -3.817356) * gaussian(bT * -0.31196883)) + 0.13997507)) * 2.5482082"
27,1.5869113,"(((((gaussian(bL * 0.3007522) / exp(n)) * 2.4110446) / (0.72769773 / n)) * gaussian(bT * -0.30245137)) * (n + -4.127326)) + gaussian(n * 0.40985668)"
