Complexity,Loss,Equation
1,72.06161,"0.0032762734"
3,48.894337,"0.46930006 ^ n"
4,48.032715,"gaussian(n ^ 0.42541665)"
5,47.964382,"(0.5518078 ^ n) * 0.34807724"
7,47.96431,"((0.5536821 ^ n) * 0.3412114) + -1.7289489e-5"
8,34.85531,"(0.5130905 ^ n) * gaussian(bL * 0.18910715)"
9,34.85521,"exp(n / -1.4990145) * gaussian(bL * -0.18917641)"
10,19.661476,"(0.5290162 ^ n) * gaussian((bL * bT) * 0.069869034)"
12,19.3956,"(0.56162906 ^ n) * (gaussian((bT * bL) * -0.069667615) * 0.67009807)"
13,19.395042,"((gaussian((bL * bT) * -0.09189333) * 0.48668617) / exp(n)) ^ 0.57497287"
14,3.5950987,"gaussian(bT * -0.2568052) * ((gaussian(bL * -0.38271493) / exp(n)) ^ 0.46222994)"
16,2.0272977,"((gaussian(bL * -0.36602816) * (gaussian(bT * -0.36349034) / exp(n))) * 5.0775657) ^ 0.5710591"
18,1.9366372,"((((gaussian(bT * 0.36641115) * 6.8564553) / exp(n)) ^ 0.6018871) + 0.00072082045) * gaussian(bL * -0.27973753)"
19,1.782077,"(gaussian(bL) + 2.3987932) * (gaussian(bL * 0.24310426) * ((gaussian(bT * -0.34908056) / exp(n)) ^ 0.6032736))"
20,1.3779575,"(0.36799455 ^ n) + ((gaussian(bT * -0.42700416) * (gaussian(bL * -0.42273167) * (5.3121333 / exp(n)))) ^ 0.53026474)"
22,1.3754311,"(0.36833012 ^ n) + ((((gaussian(bT * -0.42579797) * (gaussian(bL * -0.42160732) / exp(n))) * 5.3272657) ^ 0.53114986) + -3.9052535e-5)"
23,1.3741001,"(((gaussian(bT * -0.39723873) * ((gaussian(bL * -0.3932833) * n) * 1.548974)) / exp(n)) ^ 0.61225766) + (1.021798 / exp(n))"
24,1.295642,"(((gaussian(bT * -0.42058903) * 5.2429705) * (gaussian(bL * -0.41466218) / exp(n))) ^ 0.5348661) + (gaussian(bL * -0.09204284) / exp(n))"
25,1.2134181,"((bT * (bT * 0.039715745)) / exp(n)) + ((gaussian(bT * 0.42042676) * ((gaussian(bL * 0.40290934) * 6.8819613) / exp(n))) ^ 0.55284214)"
26,1.036181,"((gaussian(bT * -0.4673456) * (gaussian(bL * -0.44365445) * (5.5307703 / exp(n)))) ^ 0.5149813) + (gaussian(bL * -0.15943295) / exp(n * 0.87395316))"
28,1.0148323,"(gaussian((bL * n) * -0.026860042) / exp(n * 0.8669025)) + ((gaussian(bT * -0.47356978) * ((gaussian(bL * -0.4474435) * 4.822218) / exp(n))) ^ 0.50253975)"
