Complexity,Loss,Equation
1,72.06161,"0.0032762734"
3,48.894337,"0.46930006 ^ n"
4,48.03271,"gaussian(n ^ 0.42542353)"
5,47.96443,"(0.5515098 ^ n) * 0.34966734"
8,34.855206,"(0.5131895 ^ n) * gaussian(bL * 0.18914393)"
10,19.661478,"(0.52902555 ^ n) * gaussian((bT * 0.06987436) * bL)"
12,19.346518,"((gaussian(bL * (bT * -0.02756597)) * 0.59056467) ^ n) * 0.48438764"
13,1.9127413,"(gaussian(bL * 0.109346144) * (gaussian(bT * 0.10840745) * 0.6545715)) ^ n"
15,1.6097939,"(((gaussian(bL * 0.10935168) * gaussian(bT * 0.108706556)) * 0.69016284) ^ n) * 0.70149624"
17,1.4457337,"(0.56532836 ^ n) * (((gaussian(bT * -0.31436566) * 2.8233788) + 0.15303713) * gaussian(bL * -0.28817788))"
19,1.1522582,"(0.5652504 ^ n) * ((gaussian(bL * -0.3091288) * ((gaussian(bT * -0.33336556) + 0.036003564) * 3.317297)) + 0.046748675)"
21,1.0112795,"(0.3547148 ^ n) + ((gaussian(bL * -0.31128752) * 2.7046528) * ((0.58473164 ^ n) * (gaussian(bT * -0.33525503) + 0.0345838)))"
23,0.9840175,"(0.36023661 ^ n) + ((((0.59328103 ^ n) * gaussian(bL * -0.31064942)) + -0.00014746664) * (2.4992876 * (gaussian(bT * -0.33651504) + 0.032611735)))"
25,0.9684138,"(2.4992876 * ((gaussian((-0.025475375 + bT) * -0.33651504) + 0.032611735) * (((0.59328103 ^ n) * gaussian(bL * -0.31064942)) + -0.00014746664))) + (0.36023661 ^ n)"
27,0.9681158,"((0.36023661 ^ n) * 0.98558426) + (((gaussian((bT + -0.025475375) * -0.33651504) + 0.032611735) * 2.4992876) * (((0.59328103 ^ n) * gaussian(bL * -0.31064942)) + -0.00014746664))"
