Complexity,Loss,Equation
1,72.06161,"0.003276396"
3,48.894337,"0.46930006 ^ n"
4,48.032715,"gaussian(n ^ 0.42542535)"
5,47.964382,"(0.55158293 ^ n) * 0.34915015"
8,34.85527,"(0.513136 ^ n) * gaussian(bL * -0.1888707)"
9,34.855236,"(gaussian(bL * -0.23137073) / exp(n)) ^ 0.6672283"
10,19.661491,"(0.52895594 ^ n) * gaussian((bT * bL) / -14.318941)"
12,19.395306,"(gaussian(bT * (bL / 14.393713)) * 0.6637352) * (0.56228566 ^ n)"
13,1.9166199,"(gaussian(bL * -0.109793216) * (0.65586746 * gaussian(bT * 0.10908788))) ^ n"
15,1.5925053,"((gaussian(bL * 0.10826437) * (gaussian(bT * 0.10725451) * 0.6932749)) ^ n) * 0.65945584"
17,1.4517264,"((0.5611436 ^ n) * (gaussian(bL * -0.28873575) * (gaussian(bT * 0.31560963) + 0.055011883))) * 2.987566"
18,1.4455295,"(gaussian(bT * 0.3150231) + 0.05557772) * (((gaussian(bL * 0.38160267) / exp(n)) ^ 0.5701114) * 2.8176737)"
19,1.3782606,"(gaussian(bT * 0.3111756) * ((0.5876344 ^ n) * (gaussian(bL * 0.30780917) * 2.451295))) + (0.36794454 ^ n)"
20,1.3779352,"((gaussian(bT * 0.31094792) * ((gaussian(bL * 0.42274046) / exp(n)) ^ 0.5299902)) * 2.4195073) + (0.3679058 ^ n)"
21,1.3613822,"(0.36794454 ^ n) + ((0.5876344 ^ n) * ((gaussian(bL * 0.30780917) * 2.451295) * gaussian((bT + -0.026935674) * 0.3111756)))"
22,1.0114144,"(((gaussian(bL * 0.42469755) / exp(n)) ^ 0.5370172) * ((gaussian(bT * 0.33512634) + 0.034735523) * 2.70716)) + (0.35488096 ^ n)"
24,0.99957275,"((((gaussian(bL * 0.42268434) / exp(n)) ^ 0.54144347) * 2.7943897) * (gaussian((bT + -0.02318322) * 0.33507589) + 0.03478205)) + (0.35344872 ^ n)"
26,0.9966539,"((0.3549584 ^ n) + (((gaussian((bT * 0.333812) + -0.007919099) + 0.034396984) * ((gaussian(bL * 0.42486107) / exp(n)) ^ 0.53356695)) * 2.617911)) * 1.0003133"
29,0.9893906,"((gaussian(bT) + 1.0245113) * (0.3541926 ^ n)) + (((gaussian(bL * 0.4269386) / exp(n)) ^ 0.53388155) * ((gaussian((bT * 0.33238122) + -0.007886115) + 0.03383957) * 2.617819))"
