Complexity,Loss,Equation
1,5.315548,"-0.0006056311"
3,4.810524,"-0.005428077 / n"
4,4.4338617,"-0.7603901 / exp(n)"
5,4.108133,"(0.58594954 ^ n) * -0.04079926"
7,4.1079297,"((0.59643865 ^ n) * -0.03714258) + 2.431838e-5"
8,4.1033034,"(-0.050089654 / exp(n)) * (bT + 15.3712015)"
9,3.715119,"(bT + 16.417048) * ((0.59053755 ^ n) * -0.0024046965)"
11,3.4653509,"gaussian(bL * 0.30122986) * (gaussian(bT * -0.25491628) * -0.0066235354)"
13,2.7735808,"gaussian(bT * 0.26849288) * (gaussian(bL * (n * -0.0400268)) * -0.008515708)"
14,1.827312,"(gaussian(bL * -0.2850139) * gaussian(bT * -0.2522239)) * (-8.151219 / exp(n))"
15,1.7304395,"((gaussian(bL * 0.29580975) / n) * -0.47686583) * (gaussian(bT * -0.2532158) / n)"
16,1.156231,"(gaussian(bT * -0.25299025) * -0.43527105) * (gaussian(bL * 0.2916197) / exp(n * 0.5314697))"
18,0.93811977,"((gaussian(bL * -0.28418547) * -0.39820462) / exp(n * 0.53066707)) * gaussian((bT + -0.39380336) * -0.24606459)"
20,0.9046496,"(gaussian(bL * -0.30919865) + 0.060889363) * (gaussian((bT + -0.38995093) * 0.24825463) * (-0.39284346 / exp(n * 0.5315595)))"
22,0.90464747,"(gaussian((bT * 0.24826185) + -0.09664658) * (gaussian(bL * -0.30922443) + 0.061030637)) * ((-0.3533188 / exp(n * 0.53150535)) * 1.1113203)"
23,0.8180945,"(((gaussian(bT) + -0.016570518) * bT) + -0.3374631) * (gaussian(bT * -0.24348985) * (gaussian(bL * 0.28083503) / exp(n * 0.50926715)))"
25,0.7435424,"((gaussian(bL * 0.2869761) / exp(n * 0.5434031)) * (((gaussian(bT * 0.6857561) + -0.025277788) * bT) + -0.4442257)) * gaussian(bT * -0.24704534)"
27,0.70971775,"(gaussian(bL * 0.2962389) / exp(n * 0.5396307)) * (((bT * (gaussian((bT * 0.7012479) + 0.23682126) + -0.023542717)) + -0.3922137) * gaussian(bT * -0.2376429))"
29,0.69938606,"(gaussian(bL * 0.29024896) / exp(n * 0.5151218)) * (gaussian(bT * -0.23598345) * (((bT * 0.6153922) * (gaussian((bT * 0.6594909) + 0.2403775) + -0.032608077)) + -0.32065338))"
