Complexity,Loss,Equation
1,3.2638378,"-0.0004522647"
3,3.1658075,"-0.003988792 / n"
4,3.1386223,"-0.5274681 / exp(n)"
5,2.7571979,"-0.0060030557 / (bT * bT)"
7,2.4426856,"(gaussian(bT) * gaussian(bL)) * -0.71852833"
9,1.9754347,"(gaussian(bL / bT) * gaussian(bT)) * -0.5323546"
10,1.5562519,"(gaussian(bL * 0.40412804) / (bT * bT)) * -0.02527025"
11,1.5257783,"gaussian(bT * 0.4095582) * (gaussian(bL * 0.3777681) * -0.015457066)"
12,1.1880078,"((-0.22485764 / n) * gaussian(bL * 0.40038434)) / (bT * bT)"
13,0.8935326,"(gaussian((n * bT) * 0.05619503) * -0.021367805) * gaussian(bL * -0.38035607)"
15,0.7928112,"gaussian(n * (bT * 0.054729715)) * ((gaussian(bL * -0.36885843) * -0.15050843) / n)"
17,0.7569806,"(gaussian((bT * n) * -0.060528252) * (gaussian(n * (bL * 0.055620562)) * -0.025793336)) + -0.0001787408"
19,0.7179118,"gaussian(n * (bL * -0.05424635)) * (((0.5856489 ^ n) + gaussian((n * bT) * -0.06389459)) * -0.026906038)"
20,0.71757156,"(gaussian((bL * n) * -0.056989983) * ((gaussian((n * -0.05715851) * bT) + gaussian(bT)) * -0.02221923)) + -0.00016666396"
21,0.70971173,"(gaussian((bL * n) * -0.05314962) * ((0.58086115 ^ n) + gaussian((n * -0.064510174) * (bT + -0.08019251)))) * -0.027135698"
22,0.68720055,"gaussian(n * (bL * -0.055093586)) * (((0.5898835 ^ n) + (gaussian(bT) + gaussian((bT * n) * -0.059864804))) * -0.02244337)"
24,0.674731,"((gaussian((n * -0.05931261) * bL) * -0.023661487) + -0.0009236621) * (((0.58969295 ^ n) + gaussian((bT * n) * 0.06208901)) + gaussian(bT))"
27,0.67093736,"((gaussian(bT) + gaussian((n * (bT + -0.059727386)) * -0.061308116)) * (gaussian((bL * n) * 0.059462782) * -0.025291493)) + (gaussian(n * -0.17759062) * -0.0015884129)"
29,0.66238207,"(gaussian(n * 0.16650103) * -0.00094019284) + ((((gaussian((n * bT) * -0.06320601) + gaussian(bT)) + (0.537352 ^ n)) * gaussian(bL * (n * -0.059169587))) * -0.026079116)"
