Complexity,Loss,Equation
1,72.06161,"0.0032764"
3,48.894337,"0.4692992 ^ n"
4,48.032715,"gaussian(n ^ 0.42543432)"
5,47.964363,"(0.5516268 ^ n) * 0.34885982"
8,34.8553,"(0.5131234 ^ n) * gaussian(bL * 0.18881463)"
9,34.855213,"exp(n * -0.667121) * gaussian(bL * 0.1891765)"
10,19.661476,"gaussian((bL * bT) * 0.069838844) * (0.5289725 ^ n)"
12,19.395058,"((0.56321 ^ n) * 0.65638417) * gaussian((bL * bT) / -14.392367)"
13,3.595737,"gaussian(bL * -0.25952235) * ((0.62924623 ^ n) * gaussian(bT * -0.2562712))"
14,3.595086,"gaussian(bL * -0.26010138) * (exp(n * -0.46227306) * gaussian(-0.25684863 * bT))"
15,2.0377264,"(0.4895487 ^ n) * ((gaussian(bL * -0.27728093) * gaussian(bT * -0.27525553)) * n)"
16,2.027229,"((exp(n * -0.5716119) * gaussian(bT * 0.27462268)) * gaussian(bL * -0.2767363)) * 2.5370638"
17,1.4368609,"(0.49818215 ^ n) * (gaussian(bL * -0.2888116) * ((n * gaussian(bT * 0.31587657)) + 0.36388478))"
18,1.4357489,"(gaussian(bL * 0.28948784) * exp(n * -0.69546133)) * ((n * gaussian(bT * 0.316321)) + 0.35701078)"
19,1.3312072,"(0.50849503 ^ n) * (((gaussian(bT * 0.31658944) * n) * (gaussian(bL * -0.30255002) + -0.023442274)) + 0.16358991)"
23,1.0089009,"(exp(n * -0.67096144) * (gaussian(bL * 0.31144732) * ((gaussian(bT * 0.33502966) + 0.033864394) * n))) + (0.82752264 / exp(n))"
25,0.99507195,"(((exp(n * -0.6696577) * gaussian(bL * 0.31164283)) * ((gaussian(bT * 0.3360212) + 0.03507374) * n)) + (0.85710037 / exp(n))) + -9.123348e-5"
26,0.970622,"(gaussian(bL * 0.08310174) / exp(n)) + ((gaussian(bL * 0.31248525) * (gaussian(bT * 0.33607182) + 0.03032887)) * (n * exp(n * -0.66953343)))"
28,0.93597907,"(gaussian((bL * 0.013017933) * bL) / exp(n)) + (((n * gaussian(bL * 0.31398383)) * (gaussian(bT * 0.3372389) + 0.029990802)) * exp(n * -0.66807497))"
30,0.9359701,"(gaussian(((0.012884765 * bL) * bL) / -0.98650974) / exp(n)) + ((exp(n * -0.667941) * (gaussian(bL * 0.31404698) * n)) * (gaussian(0.33733708 * bT) + 0.030019255))"
