Complexity,Loss,Equation
1,72.06161,"0.0032767723"
4,48.894337,"exp(n * -0.7565148)"
6,47.964367,"exp(n * -0.59467375) * 0.34833395"
9,34.855217,"exp(n * -0.66709507) * gaussian(bL * -0.18916757)"
11,19.66164,"exp(n * -0.63665867) * gaussian((bT * 0.069970936) * bL)"
13,19.395123,"exp(n * -0.5733945) * (gaussian(bL * (bT * 0.06974053)) * 0.6550804)"
14,3.595079,"exp(n * -0.4621758) * (gaussian(bT * -0.25691554) * gaussian(bL * -0.26017684))"
16,2.0272434,"(exp(n * -0.5717051) * gaussian(bL * -0.27654177)) * (gaussian(bT * 0.27440768) * 2.5341594)"
23,1.9643753,"gaussian(bL * 0.26563767) * (gaussian(bT * -0.26369146) * ((exp(n * -0.571025) * gaussian(bL * (bT * 0.02577449))) * 2.3500326))"
25,1.8342153,"(((gaussian((n * (bT * -0.0042719697)) * bL) * 2.0766149) * exp(n * -0.558464)) * gaussian(bT * -0.2594262)) * gaussian(bL * -0.26109877)"
27,1.692819,"gaussian(bT * 0.26055634) * ((exp(n * -0.5414624) * (gaussian(bL * ((n * (n * bT)) * 0.00070280355)) * gaussian(bL * -0.2620114))) * 1.9223062)"
29,1.6823921,"gaussian(bT * -0.25793776) * ((exp(n * -0.53331834) * (gaussian((((bL * -0.0013051613) * n) * (bT * -0.53473896)) * n) * 1.7691597)) * gaussian(bL * -0.25895837))"
