Complexity,Loss,Equation
1,25.281912,"-4.5753098e-33"
3,17.204475,"bL * 0.00037048652"
6,11.861995,"bL * exp(n * -1.1135308)"
8,10.636206,"bL * (exp(n * -0.62333053) * 0.04675233)"
10,10.634078,"(bL * (n * 0.018015655)) * exp(n * -0.76359063)"
11,6.027216,"bL * (exp(n * -0.934985) * gaussian(bL * -0.19279875))"
13,4.4374485,"(exp(n * -0.899548) * bL) * gaussian((bL * 0.07759762) * bT)"
15,3.5081854,"gaussian((bT * 0.07572038) * bL) * (exp(n * -0.61242485) * (bL * 0.15483183))"
16,1.3357688,"(gaussian(bT * -0.22624917) * (bL * exp(n * -0.80219233))) * gaussian(bL * 0.21244174)"
18,0.85822624,"(gaussian(bL * -0.20702532) * ((gaussian(bT * -0.22040243) * bL) * exp(n * -0.62327963))) * 0.29591435"
20,0.858226,"(((bL * 0.29650056) * (exp(n * -0.6232883) * gaussian(bL * -0.20701852))) * gaussian(bT * -0.22040093)) * 0.9981086"
23,0.47057974,"(bL * (exp(n * -0.62143517) * gaussian(bT * -0.22143774))) * (gaussian(bL * -0.20782824) * (exp(bT * 0.04462772) * 0.2939528))"
25,0.45432773,"((gaussian(bL * 0.20772724) * bL) * ((exp(n * -0.6242736) * 0.29917926) * gaussian(bT * -0.22153294))) * exp((bT * n) * 0.006845797)"
27,0.45217222,"(exp(n * -0.63158184) * gaussian(bL * 0.20894781)) * (((bL * gaussian(bT * 0.22111256)) * 0.3157014) * exp((n * (bT * 0.00096063945)) * n))"
29,0.45132068,"exp((n * ((bT * 0.3643917) * n)) * 0.0026759605) * ((((gaussian(bL * -0.20813431) * exp(n * -0.63261944)) * bL) * gaussian(bT * -0.22173133)) * 0.31805936)"
