Complexity,Loss,Equation
1,26.474451,"0.0"
3,18.016006,"bL * 0.0003704866"
6,12.421528,"bL * exp(n * -1.11341)"
8,11.138311,"(bL * 0.048678074) * exp(n * -0.62956923)"
10,11.135696,"((bL * 0.018106142) * exp(n * -0.76435643)) * n"
11,10.724275,"bL * (gaussian(bL * 0.19331972) * gaussian(n * -0.39524046))"
13,5.0832763,"(bL * exp(n * -0.91110075)) * gaussian((bL * -0.06886912) * bT)"
15,3.6973605,"(bL * (gaussian(n * 0.20620112) * 0.017880538)) * gaussian(bL * (bT * -0.07559134))"
18,0.93155634,"gaussian(n * -0.20756009) * (gaussian(bT * 0.22090429) * (bL * (gaussian(bL * 0.20727761) * 0.032718748)))"
20,0.9314461,"gaussian(bT * 0.22045091) * (((gaussian(bL * 0.20722103) * gaussian(n * 0.20754342)) * (bL * 0.9572084)) * 0.034128588)"
23,0.5318188,"(((bL * (0.032721583 * gaussian(bL * 0.20796509))) * exp(bT * 0.043760046)) * gaussian(n * -0.2073708)) * gaussian(bT * 0.22153662)"
