Complexity,Loss,Equation
1,26.474451,"0.0"
3,18.016006,"bL * 0.0003704866"
6,12.421521,"bL * exp(n * -1.1135069)"
8,11.13792,"(exp(n * -0.6244728) * bL) * 0.047078416"
10,9.997917,"gaussian((bL * n) * -0.03283564) * (bL * 0.0019918247)"
11,6.31152,"(bL * exp(n * -0.9349953)) * gaussian(bL * 0.1927864)"
13,5.3673797,"((bL * gaussian(bL * -0.1871107)) * exp(n * -0.628129)) * 0.1370404"
15,3.6736283,"((gaussian(bT * (bL * 0.07569826)) * bL) * exp(n * -0.61251557)) * 0.15490478"
16,1.3987818,"(gaussian(bT * 0.22625005) * (gaussian(bL * 0.21248622) * exp(n * -0.8021928))) * bL"
18,0.8987094,"((gaussian(bT * -0.2203948) * 0.29604495) * (gaussian(bL * -0.20701519) * exp(n * -0.62333))) * bL"
23,0.4928741,"(((exp(bT * 0.04447515) * gaussian(-0.22141717 * bT)) * 0.29630727) * (bL * gaussian(bL * -0.20789607))) * exp(n * -0.6226217)"
25,0.47582176,"(exp(bT * (n * 0.006866692)) * ((gaussian(bL * -0.20779422) * gaussian(bT * 0.22161362)) * (exp(n * -0.62582684) * 0.30236182))) * bL"
27,0.47224385,"(exp(n * -0.63297915) * ((exp((bT * (n * n)) * 0.0009835734) * (gaussian(bT * 0.22176096) * gaussian(bL * -0.20786792))) * bL)) * 0.3174633"
