Complexity,Loss,Equation
1,59.488773,"0.0030559446"
3,55.999718,"Lorentzian(n, 222.16193)"
4,37.65905,"expdecay(n * 0.7659484)"
5,37.53281,"Lorentzian(n, -25.060858) * 0.10379837"
6,36.876076,"expdecay(n * 0.6085101) * 0.35946652"
8,30.016045,"expdecay(n * (gaussian(gaussian(bT)) * 0.7698582))"
9,29.241293,"expdecay(n * gaussian(gaussian(expdecay(Lorentzian(bT, 0.99283934)))))"
10,26.84084,"expdecay(n * 0.6292158) * expdecay(gaussian(Lorentzian(bT, -0.6328945)))"
11,26.578405,"expdecay(expdecay(expdecay(expdecay(Lorentzian(bT, 0.044022363)))) * n) * 0.46230987"
12,13.9377,"expdecay((expdecay(gaussian(bL * (bT * 0.03267363))) * n) * 1.7671219)"
14,13.437922,"expdecay((expdecay(gaussian((bL * bT) * 0.035274312)) * 1.5075411) * n) * 0.53072464"
15,1.7076494,"expdecay(n * expdecay(Lorentzian(bT * 0.31676197, bL * (bL * 0.09654637)))) * 0.5995599"
17,1.6035371,"expdecay(expdecay(Lorentzian(bT * -0.30829233, bL * (bL * 0.092234895))) * (n * 1.0428379)) * 0.63901925"
27,1.5673403,"expdecay(expdecay(Lorentzian(bT * -0.4309704, (bL * 0.13555874) * bL)) * (n * 0.8215507)) * (Lorentzian(bT * -0.2566858, bL * (bL * 0.093193926)) * 0.9725368)"
