Complexity,Loss,Equation
1,1178.4498,"0.009128211"
3,1147.5034,"0.5359189 ^ n"
4,962.71313,"gaussian(bT) * 0.107053526"
5,601.9739,"gaussian(bL) * gaussian(bT)"
7,561.67206,"(gaussian(bL) * gaussian(bT)) * 0.8181046"
9,229.7263,"((gaussian(bT) * gaussian(bL)) ^ 0.37086207) * 0.2879318"
11,74.042465,"(((gaussian(bT) * gaussian(bL)) * 0.03081076) ^ 0.04428697) ^ n"
13,68.50606,"(((gaussian(bT) * (gaussian(bL) * 0.07691259)) ^ 0.043961916) ^ n) * 0.7150776"
15,60.906097,"((((gaussian(bL) * gaussian(bT * 1.0991637)) * 0.076212615) ^ 0.039526436) ^ n) * 0.66073143"
17,57.01759,"(((gaussian(bT) * (((gaussian(bL) ^ 0.09985659) ^ n) * 0.32900873)) ^ 0.048184946) ^ n) * 0.45313388"
19,56.92919,"(((((((gaussian(bL) ^ 0.09953389) ^ n) * 0.32538554) * gaussian(bT)) ^ 0.07408246) ^ n) * 0.27979925) ^ 0.6412252"
23,56.818943,"((((((((gaussian(bL) * 1.8510444) ^ 0.100392975) ^ n) * (gaussian(bT) * 0.12861411)) ^ 0.12305542) ^ n) * 0.97375214) ^ 0.38822258) * 0.5305698"
24,50.005157,"(((gaussian(bT) * ((exp((bT * bT) ^ -2.3307552) * ((gaussian(bL) ^ 0.1303186) ^ n)) * 0.07478647)) ^ 0.036621112) ^ n) * 0.42423293"
25,43.917107,"((((((gaussian(bL) ^ 0.23772913) ^ n) * (((bT * bT) ^ -3.010302) * (gaussian(bT) * 0.011789469))) ^ 0.03194622) ^ n) ^ 0.62392724) * 0.46055466"
27,43.299023,"((((((((gaussian(bL) ^ 0.24144559) * 1.0144184) ^ n) * ((bT * bT) ^ -3.2088246)) * (gaussian(bT) * 0.0106853265)) ^ 0.03557928) ^ n) ^ 0.54703015) * 0.46513808"
