Complexity,Loss,Equation
1,66.17071,"0.003926912"
3,46.264305,"0.4646004 ^ n"
4,45.468716,"gaussian(n ^ 0.42871267)"
5,45.39535,"(0.5457136 ^ n) * 0.35285196"
7,45.395348,"((0.39031452 ^ n) * 0.20085053) ^ 0.64485127"
8,33.610775,"gaussian(bL * -0.17108516) * (0.50262344 ^ n)"
9,33.610756,"exp(n * -0.68782085) * gaussian(bL * -0.17104802)"
10,16.703176,"(0.52161974 ^ n) * gaussian((bT * bL) * 0.06637806)"
12,14.275589,"gaussian(((bT * bL) * -0.06446521) ^ n) * (0.5128772 ^ n)"
13,1.6204803,"((gaussian(bT * 0.10292439) * 0.6329825) * gaussian(bL * 0.10050932)) ^ n"
15,1.3312908,"((gaussian(bT * 0.10168749) * (gaussian(bL * 0.09943454) * 0.6726178)) ^ n) * 0.64932996"
20,1.0960658,"gaussian(bT * -0.2296588) * (((gaussian((bL * -0.014818305) * bT) * 0.607382) * gaussian(bL * -0.08478861)) ^ n)"
22,1.095666,"gaussian(bT * -0.23068087) * ((((gaussian(bL * (bT * -0.01458907)) * 0.6064705) * gaussian(bL * -0.08549203)) ^ n) * 1.0203209)"
24,1.0640736,"gaussian(bT * -0.23250318) * ((((n ^ 0.81196815) * gaussian(bT * (bL * -0.036112774))) * gaussian(bL * 0.2222698)) * (0.4840127 ^ n))"
26,0.94265676,"((n * gaussian((bL * 0.0054377415) * (n * bT))) * ((gaussian(bL * -0.22412995) * 0.72455436) * gaussian(bT * -0.23342499))) * (0.48281088 ^ n)"
28,0.91702557,"n * (gaussian(bT * -0.23040171) * (gaussian(bT * ((n * 0.22769926) * (bL * 0.025363116))) * ((0.49423096 ^ n) * (gaussian(bL * -0.22106162) * 0.6058366))))"
