Complexity,Loss,Equation
1,138.54604,"0.0031484119"
3,83.35438,"bsq ^ -1.7635717"
5,4.4133563,"(bsq ^ -0.22700396) ^ n"
7,4.017558,"((bsq ^ n) ^ -0.21476878) * 0.7922528"
9,3.1553385,"(2.5422502 * (0.92558587 ^ bsq)) * (0.56619847 ^ n)"
10,1.4523741,"((exp(bsq ^ 0.37874106) ^ -0.19527657) ^ n) * 0.6546633"
12,1.4308733,"(((exp(bsq ^ 0.39578632) * 1.1352569) ^ -0.17619102) ^ n) * 0.6261992"
14,1.1706759,"(((exp((bsq ^ 0.56247) * 0.27456504) ^ -0.27925208) * 0.824614) ^ n) * 0.66456985"
21,1.1671398,"(((exp((bsq ^ 0.4492762) * 0.34576586) ^ -0.33792827) * 0.8514084) ^ n) * (gaussian((bsq ^ 0.5822253) * -0.06802994) * 0.79195297)"
23,1.1523794,"(((gaussian(-0.7192224 * (bsq * (-0.40693104 ^ n))) * (exp((bsq ^ 0.50895286) * 0.32499167) ^ -0.29678577)) * 0.83786225) ^ n) * 0.7386564"
25,1.119692,"((gaussian((Pb * bsq) * (0.2606585 ^ n)) * ((exp((bsq ^ 0.49879658) * 0.31495392) ^ -0.32411256) * 0.7455896)) ^ n) * (n * 0.26078856)"
27,1.1181462,"n * (((gaussian((((0.31495392 ^ n) * 0.3302109) * Pb) * bsq) * ((exp((bsq ^ 0.49879658) * 0.31495392) ^ -0.32411256) * 0.7455896)) ^ n) * 0.26078856)"
28,0.99542797,"((((exp((-1.0121216 ^ bsq) * -0.0035370148) * 0.7253478) * ((exp((bsq ^ 0.53236353) * 0.28108734) * exp(0.61861163 ^ bsq)) ^ -0.30566126)) ^ n) * n) * 0.2585349"
