Complexity,Loss,Equation
1,138.54604,"0.0031484119"
3,83.35539,"bsq ^ -1.7636275"
5,61.11437,"(n * bsq) ^ -1.0097395"
6,36.038994,"gaussian((bsq * n) ^ 0.15994328)"
7,33.01978,"((bsq * 0.104685344) * n) ^ -1.8342472"
8,5.85273,"(gaussian(n * 0.044784945) ^ bsq) * 0.06992722"
9,4.1157737,"(bsq ^ -1.4595209) * ((0.5686964 ^ n) * 37.177982)"
11,2.089997,"(((bsq ^ -1.0736006) * 17.548077) + -0.1732459) * (0.5635713 ^ n)"
13,1.9856366,"((0.56906116 ^ n) * (((bsq ^ -1.1431402) * 19.253487) + -0.12071934)) + -0.00025325836"
15,1.5116615,"((n ^ -3.4041426) + (bsq * -9.799729e-6)) * (((bsq ^ -0.9145111) * 182.15147) + -3.3367932)"
17,1.4993533,"((n ^ -3.3819249) + ((bsq + 2.3172781) * -9.530126e-6)) * (((bsq ^ -0.9291381) * 182.15604) + -3.134903)"
19,1.4786735,"((bsq * -1.2917174e-5) + (n ^ -3.2294471)) * ((((bsq ^ -0.96497726) * (0.96604335 ^ n)) * 182.58945) + -2.093653)"
21,1.4293212,"(((n ^ -3.2781713) + (bsq * -1.4851776e-5)) * ((((0.9744171 ^ n) * (bsq ^ -0.96385586)) * 190.91298) + -2.342051)) + 0.00026831587"
23,1.4268446,"(((n ^ -3.2522645) + (bsq * -1.599943e-5)) * (((((0.97295666 ^ n) * (bsq ^ -0.9696478)) * 190.91417) + -2.2727437) * 0.9791278)) + 0.00028708376"
24,1.2729311,"(((bsq * -1.2643772e-5) + (n ^ -3.235892)) * (((bsq ^ -0.95760226) * ((0.95742756 ^ n) * 190.91637)) + -2.1516864)) + (gaussian(Pb) * 0.00062722905)"
26,1.1949733,"((((bsq ^ -0.981029) * ((0.96808046 ^ n) * 190.91757)) + -2.0395086) * ((bsq * -1.3554985e-5) + (n ^ -3.2411911))) + ((gaussian(Pb) * 2.0646556e-5) * bsq)"
28,1.1879963,"(((((0.9682329 ^ n) * 190.91757) * (bsq ^ -0.98211884)) + -2.0395126) * ((-1.3413671e-5 * bsq) + (n ^ -3.2412395))) + ((gaussian(Pb * 0.30476865) * 2.1719698e-5) * bsq)"
30,1.1860524,"((((0.9682329 ^ n) * (190.91757 * (bsq ^ -0.98211884))) + -2.0395126) * ((-1.3413671e-5 * bsq) + (n ^ -3.2412395))) + (gaussian(Pb * 0.30476865) * (2.1719698e-5 * (-1.0864743 + bsq)))"
