Complexity,Loss,Equation
1,462.1209,"0.0068153557"
4,425.50226,"exp(n * -0.6610992)"
5,416.5286,"(0.6560328 ^ n) * 0.20035483"
6,358.1171,"gaussian(bT * -0.4422293) * 0.026488176"
7,239.56691,"gaussian(bT) * (gaussian(bL) * 6.6202507)"
9,220.46873,"gaussian(-0.76737106 * bT) * gaussian(-0.76737106 * bL)"
11,148.62636,"(gaussian(bL * 0.36562893) * gaussian(bT * 0.44190902)) * 0.09514695"
13,68.05142,"(gaussian(bL * -0.38465554) * gaussian(n * (bT * 0.06260833))) * 0.13053764"
14,24.965567,"gaussian(bL * 0.34356102) * (gaussian(-0.3971313 * bT) * exp(n * -0.30222604))"
15,17.57374,"(gaussian(bT * (n * 0.06256281)) * gaussian(bL * (n * -0.05379694))) * 0.14998776"
18,15.955307,"(gaussian(bL * -0.3545584) * exp(n * -0.23539162)) * (gaussian((bT * n) * 0.057815302) * 0.6864471)"
20,12.644708,"exp(n * -0.07960084) * ((gaussian((bT * n) * 0.05947706) * gaussian((n * -0.051220544) * bL)) * 0.24195166)"
22,12.027662,"gaussian((bT * n) * 0.058069576) * (exp(n * -0.17033249) * (exp((bL * (bL * n)) * -0.01827381) * 0.44858354))"
24,11.880334,"gaussian(bT * (n * 0.058235053)) * (((exp(n * -0.17077221) * 0.41144183) * exp((bL * (n * -0.018101947)) * bL)) * 1.0788999)"
25,11.613723,"(((exp(n * -0.13584627) * 0.34890056) * gaussian(bT * (n * 0.058686536))) * gaussian(bL * -0.21034093)) * gaussian((n * -0.04080192) * bL)"
