Complexity,Loss,Equation
1,462.1209,"0.0068153557"
4,425.5022,"exp(n * -0.6610783)"
6,358.1171,"gaussian(bT * 0.44223103) * 0.026488233"
7,239.56693,"(gaussian(bL) * gaussian(bT)) * 6.6202755"
9,210.509,"gaussian(bT * 0.8065191) * gaussian(bL * 0.7614374)"
11,132.4933,"gaussian(bL * 0.72746855) * gaussian((bT * n) * 0.104953244)"
13,68.04299,"(gaussian(bL * 0.3856542) * 0.13038506) * gaussian(bT * (n * 0.06245646))"
14,24.965595,"exp(n * -0.30217907) * (gaussian(bT * 0.3973067) * gaussian(bL * -0.34355992))"
15,17.573448,"(gaussian(bL * (n * -0.053819463)) * gaussian(n * (bT * -0.062629156))) * 0.15034209"
17,17.573233,"gaussian(bT * (n * -0.062649906)) * (gaussian((n * 0.051878534) * (bL * 1.0372547)) * 0.15036286)"
18,15.9586935,"((gaussian(bT * (n * -0.058010913)) * 0.6825238) * exp(n * -0.23439401)) * gaussian(bL * -0.35404208)"
20,12.632188,"(gaussian((bT * n) * 0.059306838) * 0.24619742) * (exp(n * -0.08320519) * gaussian((bL * -0.051128983) * n))"
27,11.899829,"((exp(n * -0.11115912) * gaussian(n * (bL * 0.046431888))) * 0.27919865) * (gaussian(bL * (bL * -0.036002997)) * gaussian(n * (bT * 0.058251504)))"
