Complexity,Loss,Equation
1,462.1209,"0.0068153557"
4,425.50217,"exp(n * -0.6611041)"
5,388.92923,"gaussian(cosh(cosh(tanh(bT))))"
6,358.11713,"gaussian(bT * -0.44223163) * 0.02648825"
7,239.56693,"gaussian(bL) * (gaussian(bT) * 6.620299)"
8,237.69902,"(gaussian(bT) * 6.7663217) * tanh(gaussian(bL))"
9,210.50899,"gaussian(bL * -0.76140374) * gaussian(bT * 0.8064904)"
10,208.54485,"gaussian(bT * 0.7905251) * tanh(gaussian(bL * 0.764416))"
11,148.62636,"(gaussian(bT * 0.44198993) * 0.09515666) * gaussian(bL * -0.36557794)"
12,146.98364,"gaussian(bL * 0.3666896) * (sinh(gaussian(bT * -0.4203879)) * 0.084225155)"
13,68.04379,"gaussian(bL * 0.3858625) * (gaussian(bT * (n * 0.062472317)) * 0.13050808)"
14,65.94429,"(gaussian(bL * 0.3865808) * 0.11688537) * sinh(gaussian((bT * 0.060095772) * n))"
15,17.574503,"(gaussian(n * (bT * 0.06272029)) * gaussian((n * bL) * 0.053796098)) * 0.15027618"
16,15.749056,"sinh(gaussian((bT * 0.059980743) * n)) * (gaussian((n * bL) * 0.0539706) * 0.13391227)"
17,13.658532,"(gaussian((n * -0.054052107) * bL) * 0.11488509) * sinh(sinh(gaussian(bT * (n * -0.05681921))))"
18,11.339051,"sinh(sinh(sinh(gaussian(bT * (n * 0.051466666))))) * (gaussian((n * -0.05420533) * bL) * 0.09033303)"
19,8.219593,"sinh(sinh(sinh(sinh(gaussian((n * 0.0470657) * bT)))) * gaussian((n * bL) * -0.051385276)) * 0.07075153"
20,4.885196,"sinh(sinh(sinh(sinh(sinh(gaussian((n * -0.037447985) * bT)))) * gaussian((bL * n) * 0.045219846))) * 0.039124943"
21,4.7901564,"sinh(sinh(gaussian(tanh(bL * 0.04585803) * n) * sinh(sinh(sinh(gaussian((n * 0.03791484) * bT)))))) * 0.04031183"
22,4.702884,"sinh(sinh(gaussian(tanh(tanh(bL * 0.04629281)) * n) * sinh(sinh(sinh(gaussian((bT * 0.03814496) * n)))))) * 0.04091511"
23,4.639857,"sinh(sinh(gaussian(tanh(tanh(tanh(bL * 0.046703156))) * n) * sinh(sinh(sinh(gaussian((n * -0.038272455) * bT)))))) * 0.04133661"
24,4.606635,"sinh(sinh(sinh(sinh(sinh(gaussian(bT * (n * 0.03845125))))) * gaussian(tanh(tanh(tanh(tanh(bL * -0.047256824)))) * n))) * 0.042050753"
25,4.5979605,"tanh(sinh(sinh(gaussian(tanh(tanh(tanh(tanh(bL * -0.04722889)))) * n) * sinh(sinh(sinh(gaussian((n * bT) * 0.038436856)))))) * 0.0420563)"
26,4.5914454,"tanh(tanh(sinh(sinh(sinh(sinh(sinh(gaussian((n * 0.03854882) * bT)))) * gaussian(tanh(tanh(tanh(tanh(bL * -0.047283586)))) * n))) * 0.042340245))"
27,4.588142,"tanh(tanh(tanh(sinh(sinh(gaussian(n * tanh(tanh(tanh(tanh(bL * 0.04748308))))) * sinh(sinh(sinh(gaussian((n * 0.038793232) * bT)))))) * 0.043015327)))"
28,4.5827107,"tanh(tanh(tanh(tanh(sinh(sinh(gaussian(tanh(tanh(tanh(tanh(bL * 0.04748308)))) * n) * sinh(sinh(sinh(gaussian((n * 0.038793232) * bT)))))) * 0.043015327))))"
29,4.581514,"tanh(tanh(tanh(tanh(tanh(sinh(sinh(gaussian(n * tanh(tanh(tanh(tanh(bL * 0.04748308))))) * sinh(sinh(sinh(gaussian((n * bT) * 0.038793232)))))) * 0.043015327)))))"
30,4.579353,"tanh(tanh(tanh(tanh(sinh(sinh(sinh(sinh(sinh(gaussian(bT * (n * 0.038886394))))) * gaussian(sinh(tanh(tanh(tanh(tanh(tanh(bL * 0.04773422)))))) * n))) * 0.04333862))))"
