Complexity,Loss,Equation
1,462.1209,"0.0068153557"
4,423.11496,"log(cosh(inv(n)))"
5,357.4173,"inv(cosh(bT) * 26.545826)"
7,321.3366,"inv((n * 3.0447297) * cosh(bT))"
8,158.1987,"inv(cosh(bL) * (cosh(bT) * 3.8718617))"
10,90.39,"inv((n * (cosh(bL) * 0.43807593)) * cosh(bT))"
11,54.925034,"inv((cosh(n * 0.24007028) * cosh(bT)) * cosh(bL))"
12,54.273342,"inv((cosh(bL) * cosh(cosh(n * -0.15828691))) * cosh(bT))"
13,26.426697,"inv((cosh(bT) * cosh(bL * 0.73239005)) * cosh(n * 0.29021332))"
14,21.426035,"inv((cosh(bL * 0.75051516) * cosh(bT)) * cosh(cosh(n * 0.18147478)))"
15,16.096968,"inv((cosh(n * -0.3372316) * cosh(bT * 0.80487794)) * cosh(bL * 0.67035556))"
16,9.22439,"inv((cosh(bL * (n * 0.10546989)) * 4.218238) * cosh((bT * n) * 0.12728165))"
20,7.9537077,"inv(((cosh((bT * -0.12046526) * n) * 4.117728) * cosh(n * (bL * 0.11024928))) * cosh(gaussian(bL)))"
21,4.133788,"inv((cosh((gaussian(bL * 0.18919538) * bT) * (n * -0.14170687)) * cosh(n * (bL * -0.12490596))) * 3.3506594)"
25,3.7356157,"inv(3.3066013 * (cosh((-0.14025159 * (bT * gaussian(bL * 0.18768755))) * n) * cosh(bL * ((-0.12592234 * cosh(gaussian(bL))) * n))))"
26,3.148715,"inv((3.1117175 * (cosh(n * ((gaussian(-0.16839558 * bL) * bT) * 0.1306087)) * cosh((0.12958623 * bL) * n))) * cosh(inv(cosh(bL))))"
27,2.9303043,"inv((cosh(bT * (gaussian(bL * 0.16969876) * (n * -0.12973973))) * cosh(bL * (-0.13128068 * n))) * (3.0400927 * cosh(gaussian(bL * 0.5720908))))"
29,2.9193647,"inv((cosh(gaussian(bL * 0.5584681)) * (1.04902 * (cosh((n * bL) * -0.13096042) * cosh(gaussian(0.16692066 * bL) * (n * (bT * -0.12942328)))))) * 2.895463)"
