Complexity,Loss,Equation
1,462.1209,"0.0068153557"
4,425.50217,"exp(n * -0.6610644)"
5,357.4173,"inv(cosh(bT) * 26.548773)"
7,239.56691,"(gaussian(bL) * 6.6202507) * gaussian(bT)"
8,158.1987,"inv(cosh(bT) * cosh(bL)) * 0.25827315"
10,89.06123,"inv(n * cosh(bT)) * gaussian(bL * 0.3356746)"
12,56.610905,"inv(cosh((bT * 0.15901826) * n) * cosh(bL)) * 0.4288291"
13,25.114382,"inv(cosh(n * -0.31596845) * cosh(bT)) * gaussian(bL * 0.378363)"
14,18.778551,"gaussian(bL * 0.35577098) * inv(n * cosh((bT * -0.108280465) * n))"
15,11.058067,"inv(cosh(n * -0.36087176) * cosh(bT * 0.77856886)) * gaussian(bL * 0.35794976)"
16,8.971299,"gaussian(n * (bL * 0.049577273)) * inv(cosh(n * (bT * 0.10525093)) * n)"
18,8.383045,"(inv(n * cosh((n * 0.10973795) * bT)) * 1.0879403) * gaussian((n * -0.05092973) * bL)"
19,5.5770144,"gaussian(bL * (cosh(n * 0.1197113) * -0.25066185)) * inv(n * cosh((n * bT) * 0.1059498))"
21,4.4280405,"(gaussian(bL * (cosh(n * -0.11802411) * -0.26299796)) * 1.1292304) * inv(n * cosh((n * bT) * 0.11241738))"
23,4.386154,"(cosh(gaussian(bT)) * inv(n * cosh((n * bT) * 0.10543035))) * gaussian((cosh(n * 0.12157658) * bL) * -0.2551199)"
25,4.184973,"((gaussian(bL * (-0.26095933 * cosh(n * -0.12090772))) * 1.0570369) * inv(cosh(n * (0.10819305 * bT)) * n)) * cosh(gaussian(bT))"
27,4.182479,"((cosh(gaussian(bT) * 1.0319568) * gaussian(bL * (cosh(n * -0.12156098) * -0.26052174))) * 1.0507336) * inv(cosh(n * (bT * 0.107780665)) * n)"
30,4.1109405,"(gaussian((cosh(n * -0.11451007) * -0.26865125) * bL) * cosh(gaussian(cosh((n * bT) * -0.06663173)) * 1.6464429)) * inv(n * cosh(n * (bT * 0.105759375)))"
