Complexity,Loss,Equation
1,59.488773,"0.003055974"
3,53.326653,"inv(cosh(n))"
4,37.65905,"exp(n * -0.7659079)"
6,36.87606,"exp(n * -0.60772055) * 0.35743445"
8,32.873024,"cosh(inv(bT)) * exp(n * -0.7728086)"
9,27.353209,"gaussian(bL * 0.17161283) * exp(n * -0.68707734)"
10,23.944849,"exp(n * -0.7053716) * gaussian(cosh(bL) * -0.014093285)"
11,13.614401,"gaussian(bL * (bT * -0.06660884)) * exp(n * -0.6499826)"
12,13.179237,"gaussian(cosh((bT * 0.05873314) * bL)) * exp(n * -0.50395286)"
14,1.7968256,"exp(n * (cosh(bT * -0.19083631) * -0.4839063)) * gaussian(bL * -0.2431604)"
16,1.3028028,"exp(n * -0.5976833) * ((gaussian(bL * 0.2526448) * gaussian(bT * 0.2587872)) * 2.3888657)"
20,1.1222441,"(cosh(gaussian(bT)) * gaussian(bT * 0.25415796)) * ((2.316122 * exp(n * -0.59826976)) * gaussian(bL * -0.25312454))"
21,0.95381814,"(((cosh(inv(cosh(bT))) * exp(n * -0.59617037)) * gaussian(bT * 0.24445218)) * gaussian(bL * 0.25535393)) * 2.1225114"
22,0.81675524,"cosh(gaussian(bT * -0.19853519) * 1.7362252) * (gaussian(bT * 0.1916355) * (exp(n * -0.5974974) * gaussian(bL * -0.26500306)))"
24,0.8048892,"(gaussian(bL * 0.26253688) * (cosh(gaussian((n * -0.035898957) * bT) * 1.3427659) * gaussian(bT * 0.2120019))) * exp(n * -0.54382116)"
26,0.8042586,"((gaussian(bL * 0.26356277) * cosh(gaussian((n * bT) * -0.038842853) * 1.2208549)) * (gaussian(bT * -0.21931419) * exp(n * -0.55538076))) * 1.2091258"
29,0.7964784,"(gaussian((cosh(bL * 0.093717195) * bT) * -0.22091408) * cosh(gaussian((n * bT) * 0.03972649))) * ((gaussian(bL * 0.24917617) * exp(n * -0.5668537)) * 1.3717371)"
