Complexity,Loss,Equation
1,59.488773,"0.0030557623"
4,37.65905,"exp(n * -0.7659479)"
5,36.968998,"gaussian(log(n * 1.4378163))"
6,36.876064,"exp(n * -0.6084244) * 0.3590173"
7,36.87606,"inv(exp(n * 0.6083349)) * 0.3589761"
9,27.3532,"gaussian(bL * 0.17164242) * exp(n * -0.68700945)"
11,13.61422,"gaussian(bL * (bT * 0.066513084)) * exp(n * -0.65025353)"
13,13.408851,"exp(n * -0.5913454) * (gaussian(bT * (bL * -0.066270605)) * 0.67453015)"
14,2.3890152,"gaussian(bL * -0.2354956) * (gaussian(bT * 0.24483661) * exp(n * -0.49440774))"
15,2.388995,"gaussian(bT * -0.24487756) * (inv(exp(n * 0.49430904)) * gaussian(bL * 0.23552586))"
16,1.3027949,"((gaussian(bT * 0.25876492) * exp(n * -0.59744996)) * gaussian(bL * 0.25256276)) * 2.3839705"
20,1.3025146,"(gaussian(bT * 0.25882536) * 2.5431783) * ((exp(n * -0.6034635) * gaussian(inv(n))) * gaussian(0.25271764 * bL))"
23,0.950313,"gaussian(0.24202453 * bT) * ((2.079045 * inv(exp(n * 0.59802914) * gaussian(0.49131766 * inv(bT)))) * gaussian(-0.25608647 * bL))"
25,0.9349536,"gaussian(bL * -0.25541082) * ((inv(exp(n * 0.6254833) * gaussian((inv(bT) * 0.07044252) * n)) * gaussian(bT * 0.24329261)) * 2.5155778)"
26,0.9242704,"((inv(exp(n * 0.6140052) * gaussian((log(n) * -0.26245454) * inv(bT))) * 2.3105252) * gaussian(bL * -0.25624055)) * gaussian(bT * 0.2420009)"
27,0.9217138,"(gaussian(bT * 0.2421942) * (inv(exp(n * 0.6187373) * gaussian(log(log(n)) * (inv(bT) * -0.77000856))) * 2.384412)) * gaussian(bL * -0.2557047)"
28,0.9179021,"(gaussian(bT * 0.24289984) * (inv(exp(n * 0.61018705) * gaussian(inv(bT) * ((log(n) * 0.064374164) * bL))) * gaussian(bL * -0.25813043))) * 2.3052773"
30,0.91766316,"gaussian(bL * -0.25847208) * ((inv(gaussian(log(n * 0.69344836) * (inv(bT) * (bL * 0.08018149))) * exp(n * 0.6145926)) * gaussian(bT * 0.24297151)) * 2.3781488)"
