Complexity,Loss,Equation
1,59.488773,"0.0030559688"
3,37.65905,"0.46491107 ^ n"
4,36.9361,"gaussian(n ^ 0.4286576)"
5,36.876072,"(0.54448617 ^ n) * 0.3577284"
7,36.876057,"((0.33733603 ^ n) ^ 0.5594952) * 0.35808983"
8,27.353237,"(0.5030107 ^ n) * gaussian(bL * 0.17152531)"
9,27.311464,"gaussian(bL * -0.16746703) * gaussian(n ^ 0.40263867)"
10,13.614279,"gaussian((bL * bT) * -0.06657468) * (0.52198744 ^ n)"
11,1.5743726,"(((gaussian(bT) * gaussian(bL)) ^ 0.011197012) * 0.64361143) ^ n"
13,1.2400458,"((((gaussian(bL) * gaussian(bT)) ^ 0.0104970625) * 0.6765379) ^ n) * 0.66007274"
15,1.2383511,"((((gaussian(bL * 0.9990692) * gaussian(bT)) ^ 0.0104970625) * 0.67667276) ^ n) * 0.66007274"
17,1.2261275,"((((((gaussian(bT) * gaussian(bL)) ^ 0.024914615) * 0.3786419) ^ n) * 1.0654016) ^ 0.4077646) * 0.6367566"
24,0.8885287,"(((gaussian(bT) ^ 0.09225517) * (((gaussian((bT * bL) * 0.01996708) * 0.35854632) ^ n) * gaussian(bL * -0.28859416))) ^ 0.5655398) * 1.7073362"
26,0.83809686,"(((gaussian(bT) ^ 0.10654469) * ((0.312542 ^ n) * (gaussian((n * (bL * bT)) * 0.008189467) * gaussian(bL * 0.312542)))) ^ 0.4888345) * 1.5896995"
28,0.8354984,"(((gaussian(bL * 0.35605052) * gaussian((n * bT) * (bL * 0.0098178405))) ^ 0.58521044) * (((gaussian(bT) ^ 0.08293034) * 1.9129952) * (0.40669733 ^ n))) ^ 0.62435436"
