Complexity,Loss,Equation
1,462.1209,"0.0068153557"
3,425.50217,"0.51628786 ^ n"
4,417.8644,"gaussian(n ^ 0.3902442)"
5,416.5285,"(0.6561419 ^ n) * 0.20019333"
6,358.1171,"gaussian(bT * 0.44222918) * 0.026488163"
7,214.76326,"(gaussian(bT) * gaussian(bL)) ^ 0.6117535"
9,154.27164,"((gaussian(bL) * gaussian(bT)) ^ 0.15087357) * 0.08784093"
11,20.164406,"(((gaussian(bL) * gaussian(bT)) ^ 0.020627508) * 0.75072855) ^ n"
13,14.787842,"((gaussian(bL * -0.13513096) * gaussian(bT * -0.15770233)) * 0.75434643) ^ n"
15,12.937771,"(((gaussian(bL * -0.13365898) * 0.78793746) * gaussian(bT * -0.1560982)) ^ n) * 0.7122043"
19,12.937727,"(((((gaussian(bT * -0.4190712) ^ 0.27989778) * 0.6188991) * gaussian(bL * 0.18978605)) ^ n) ^ 0.49612284) * 0.71133226"
21,10.06397,"((gaussian(bT * 0.36060992) * ((bT * bT) ^ -0.6624413)) * ((gaussian(bL * 0.18462852) * 0.5890263) ^ n)) ^ 0.54415536"
23,6.5704694,"(((((gaussian(bT * 0.33419484) ^ 0.18878137) * gaussian(bL * 0.19036873)) * 0.5818703) ^ n) ^ 0.5237517) * ((bT * bT) ^ -0.33900774)"
25,6.3974805,"(((((gaussian(bT * 0.33900633) ^ 0.19302213) * 0.5927716) * gaussian(bL * 0.19040702)) ^ n) ^ 0.5182032) * (((bT * bT) ^ -0.32452965) * 0.9066643)"
27,6.1056447,"((((gaussian(((bT * bT) ^ -0.11453353) * bT) ^ 0.094235286) * (0.426908 * gaussian(bL * 0.2430496))) ^ n) ^ 0.3164436) * ((bT * bT) ^ -0.19461037)"
