Complexity,Loss,Equation
1,59.488773,"0.0030561287"
3,37.65905,"0.46491113 ^ n"
5,36.876156,"(0.543804 ^ n) / 2.773724"
9,27.360739,"(0.5288307 ^ n) / ((bT * bT) ^ 0.37823898)"
11,27.252794,"(0.5527637 ^ n) / ((bT * (bT * 2.2200205)) ^ 0.37460062)"
13,6.6976724,"(0.5474458 ^ n) / (((bL * bL) + (bT * bT)) / 11.884162)"
15,1.8208793,"(0.5415279 ^ n) / ((((bT * bT) + -10.059391) + (bL * bL)) / 6.3821516)"
17,1.2573513,"(0.5505784 ^ n) / (((bT + (bL * (bL / bT))) * (bT / 15.233448)) ^ 1.8158675)"
19,1.2510853,"(0.5505784 ^ n) / (((bT + ((bL * bL) / (bT / 0.9965297))) * (bT / 15.233448)) ^ 1.8158675)"
21,1.1869751,"((0.55849266 ^ n) / ((((bT + (bL * (bL / bT))) * (bT / 15.271271)) ^ 1.7446663) / 0.91693944)) + -0.00024842817"
23,1.1721845,"(((0.566421 ^ n) / (((((bT + ((bL * bL) / bT)) * bT) / 11.067924) ^ 1.7078904) + 0.01735043)) + -0.00024008405) / 0.6869005"
25,1.1313311,"(((0.56939983 ^ n) / (((((bL * (bL * (0.9666848 / bT))) + bT) * (bT / 11.021065)) ^ 1.7162046) + 0.062133998)) / 0.71049607) + -0.00035726948"
27,1.1225547,"((((0.55797416 ^ n) / ((((bT * ((bL * ((bL * 0.957733) / bT)) + bT)) / 12.886788) ^ 1.9362224) + 0.40478355)) / 0.3932252) / 1.652316) + -0.00022841897"
