Complexity,Loss,Equation
1,462.1209,"0.0068153557"
3,419.2907,"n ^ -2.3737416"
5,370.8919,"0.026164148 / (bT * bT)"
7,312.41275,"((bT * bT) + n) ^ -1.7469084"
9,153.53644,"((bL * bL) + (bT * bT)) ^ -1.9027909"
11,23.222021,"(((bL * bL) + (bT * bT)) ^ -0.2244655) ^ n"
13,8.7141075,"((((bL * bL) + (bT * bT)) ^ -0.20931612) ^ n) * 0.71381396"
15,2.9994495,"((((bL * bL) + ((bT * 1.2534357) * bT)) ^ -0.20537679) ^ n) / 1.2507644"
17,2.5163977,"(((((bL * bL) * 0.7823468) + ((bT * bT) + 0.3853082)) ^ -0.21674983) ^ n) / 1.3755968"
19,2.2590568,"(((((((bT * bT) + 2.1937735) * 1.3135995) + (bL * bL)) / 2.384707) ^ -0.2653476) ^ n) / 1.3765973"
21,1.9953074,"(((((-0.9985487 ^ bL) * -0.3218678) + ((bL * bL) + (bT * (bT * 1.0803661)))) ^ -0.20844337) ^ n) / 1.3751651"
23,1.9950076,"((((((-0.9985487 ^ bL) ^ bL) * -0.3218678) + ((bL * bL) + ((bT * 1.0803661) * bT))) ^ -0.20844337) ^ n) / 1.3751651"
25,1.9927442,"((((((-0.9985487 ^ bL) ^ bL) * (0.6023633 * -0.50973636)) + ((bL * bL) + ((bT * bT) * 1.0803661))) ^ -0.20844337) ^ n) / 1.3751651"
