Complexity,Loss,Equation
1,59.488773,"0.003055974"
3,37.65905,"0.4648927 ^ n"
5,36.876057,"(0.5443681 ^ n) * 0.35839853"
9,27.360378,"(0.5291087 ^ n) / ((bT * bT) ^ 0.37959662)"
11,26.484034,"(0.49426913 ^ n) / (((bT * bT) + -0.92099696) ^ 0.21223013)"
13,10.484623,"(0.1806663 / ((bL * bL) + (bT * bT))) / (n + -5.381528)"
15,6.871155,"(((24.85586 / n) + -2.275876) / ((bL * bL) + (bT * bT))) / n"
19,4.541528,"(((79.88965 / (1.568891 ^ n)) / ((bT * bT) + (-9.978453 + (bL * bL)))) / n) / n"
21,2.0938916,"((((13.81305 / n) + -1.2339125) * -3.7149239) / (((bL * bL) + ((bT * bT) + -9.350281)) * -3.9181442)) / n"
23,1.5781094,"((bT / ((bT * bT) + (((bL * bL) + (n * 5.171397)) + -38.209137))) * ((1.5062349 / n) / bT)) + -0.0026774951"
25,1.5340921,"((bT / ((n * 4.4726534) + (((bT * bT) + (bL * bL)) + -34.297543))) * ((1.0931625 / bT) / (n + -1.4860991))) + -0.0024095925"
