Complexity,Loss,Equation
1,59.488773,"0.0030559446"
3,37.65905,"0.46491155 ^ n"
4,36.936104,"gaussian(n ^ 0.42865914)"
5,36.876057,"(0.54442936 ^ n) * 0.35811004"
8,27.353336,"(0.5031637 ^ n) * gaussian(bL * 0.17205602)"
9,27.311525,"gaussian(bL * -0.1670052) * gaussian(n ^ 0.40268514)"
10,13.614224,"gaussian((bT * 0.066529) * bL) * (0.5219415 ^ n)"
12,12.836963,"gaussian(bL * ((bL * bT) * -0.015840944)) * (0.5166992 ^ n)"
13,1.461081,"((gaussian(bL * 0.100458935) * gaussian(bT * -0.1026063)) * 0.632824) ^ n"
15,1.2006265,"(((gaussian(bT * -0.10143664) * gaussian(bL * 0.09935464)) * 0.66822594) ^ n) * 0.67632574"
20,1.1923362,"(((gaussian(bL * 0.09927613) * 0.6633564) * gaussian(bT * -0.09589075)) ^ n) * (gaussian(bT * 0.086771585) * 0.71085423)"
22,0.89619976,"(((gaussian(bL * 0.08752705) * 0.643107) * gaussian(bT * -0.09142714)) ^ n) * (gaussian((bT * -0.035917424) * bL) * 0.7168723)"
26,0.88873714,"(((exp((bT * -0.092729546) * bT) * gaussian(bL * -0.2898872)) * ((gaussian(bL * (bT * 0.02000384)) * 0.35716608) ^ n)) ^ 0.56648564) * 1.7611448"
28,0.8436922,"((gaussian(bL * -0.30759534) * ((0.33675012 ^ n) * gaussian((n * bL) * (bT * 0.0077155638)))) ^ 0.52591133) * (exp((bT * bT) * -0.054369207) * 1.6960343)"
30,0.8436921,"(exp((bT * bT) * -0.054369207) * 1.6974988) * (((((0.33675012 ^ n) * gaussian(((bL * 0.0077155638) * bT) * n)) * gaussian(bL * -0.30759534)) ^ 0.52591133) * 0.9991373)"
