Complexity,Loss,Equation
1,156.36816,"0.004054613"
3,76.798615,"bsq ^ -1.6742451"
5,5.2530327,"(bsq ^ -0.22716777) ^ n"
7,4.136923,"((0.9865061 ^ bsq) * 0.6738026) ^ n"
9,3.5911222,"(0.5658276 ^ n) * ((0.92619216 ^ bsq) * 2.5248766)"
10,2.0092776,"(exp((0.753081 ^ bsq) ^ 0.06151137) * 0.2532415) ^ n"
12,1.3857346,"((exp((0.71634316 ^ bsq) ^ 0.051373586) * 0.2679514) ^ n) * 0.671005"
14,1.3703145,"(((exp((0.7226308 ^ bsq) ^ 0.057655208) * 0.26393878) ^ n) ^ 0.93994325) * 0.663464"
20,1.3483896,"((exp((((((bsq ^ n) ^ -0.23967564) ^ -0.0053505027) * 0.7551795) ^ bsq) ^ 0.07035285) * 0.26501817) ^ n) * 0.77405566"
21,1.0185301,"(((exp((0.87623906 ^ bsq) ^ 0.116330385) * 0.22722448) ^ n) * (n * 0.2617071)) * exp((-0.9430565 ^ bsq) * -0.12627248)"
26,1.0185298,"((((exp((0.87623906 ^ bsq) ^ 0.116330385) * 0.22722448) ^ n) * (n * 0.2617071)) * exp((-0.9430565 ^ bsq) * -0.12627248)) * gaussian(0.37000903 ^ n)"
27,0.9472752,"(n * ((exp((-0.95079404 ^ bsq) * -0.13619506) * ((exp((0.8848664 ^ bsq) ^ 0.099578045) * 0.21862696) ^ n)) * ((0.92217165 ^ bsq) ^ 0.13621905))) * 0.30980754"
