Complexity,Loss,Equation
1,156.36816,"0.004054613"
3,76.799835,"bsq ^ -1.6741691"
5,39.62032,"(0.7782236 ^ n) / bsq"
7,4.853907,"0.8058189 / ((bsq ^ n) ^ 0.21578318)"
9,4.362847,"1.3268468 / (((bsq ^ n) ^ 0.23727085) + 7.1878138)"
11,3.5423875,"(1.5178534 / (((n + -4.2841473) * bsq) ^ 1.2485307)) + -0.0017047061"
13,2.5763521,"((4.7282705 / ((bsq + 4.637556) * (n + -3.673944))) ^ 1.6042075) + -0.0013681658"
15,2.5715008,"((4.7282705 / ((4.637556 + bsq) * (n + -3.673944))) ^ 1.6042075) + (-0.0013681658 / 1.0337194)"
17,2.2476106,"(9.706909 / (((bsq * ((n + -5.013823) * bsq)) + 67.093994) + (2.034035 ^ n))) + -0.00067006814"
19,2.209096,"(9.705845 / (((((bsq * bsq) + -5.194766) * (n + -5.0186663)) + (2.0406382 ^ n)) + 72.28742)) + -0.00067840127"
21,2.1916404,"(7.743192 / (((((bsq * (bsq + -4.694206)) + -3.4060566) * (n + -5.0626683)) + 71.43531) + (2.048776 ^ n))) + -0.00050891156"
23,2.0245526,"((11.343674 / ((((((n + -5.3754907) * bsq) + n) * (bsq + -7.293558)) + (2.0264182 ^ n)) + 53.189564)) / 1.7771603) + -0.00038303205"
25,2.0124123,"((11.309811 / (bsq + (((2.0417082 ^ n) + 50.03402) + (((bsq * (n + -5.321323)) + n) * (bsq + -5.958723))))) + -0.0008489824) / 1.5044211"
27,1.9784462,"((11.333246 / (((2.0292468 ^ n) + (((bsq * (n + -5.374176)) + (n * 0.84870523)) * (bsq + -7.547268))) + (bsq + 51.204212))) + -0.00076594896) / 1.7560315"
