Complexity,Loss,Equation
1,946.9761,"0.007977559"
3,243.58206,"bsq ^ -1.7998234"
5,27.482319,"(bsq ^ -0.23568025) ^ n"
7,17.492779,"((bsq ^ -0.20806043) ^ n) * 0.6920978"
9,17.425714,"(((bsq * 1.0364491) ^ -0.20707266) ^ n) * 0.719647"
11,17.211473,"(bsq ^ -0.18391542) * (((bsq ^ -0.18076883) * 0.94714916) ^ n)"
12,15.823452,"((bsq ^ -0.1998253) ^ n) * (gaussian(bsq * -0.012607232) * 0.6332914)"
14,15.764835,"(((bsq ^ -0.07712725) * gaussian((bsq ^ 0.20181328) * 0.34970126)) ^ n) * 0.796523"
15,14.64471,"((gaussian((bsq ^ 0.18953326) * 0.44815734) * exp(0.46807316 ^ bsq)) ^ n) * 0.7442084"
17,4.6054363,"(exp(((0.30577058 ^ bsq) * Pb) * Pb) * gaussian((bsq ^ 0.17525221) * 0.48473692)) ^ n"
19,1.8142239,"((gaussian((bsq ^ 0.18902355) * 0.447195) * exp(Pb * (Pb * (0.3060634 ^ bsq)))) ^ n) * 0.71951365"
21,1.7382375,"(((exp((0.3643108 ^ bsq) * (Pb * Pb)) * gaussian((bsq ^ 0.18860267) * 0.6898913)) ^ n) ^ 0.42090413) * 0.7178031"
23,1.5280559,"(((gaussian((bsq ^ 0.18838373) * 0.6996408) * exp((0.51438683 ^ bsq) * ((Pb * 0.19137336) * Pb))) ^ n) ^ 0.41071764) * 0.71615225"
27,1.5014006,"(((gaussian((bsq ^ 0.18830343) * 0.70210826) * exp((bsq ^ 0.18969277) * ((0.52051455 ^ bsq) * ((Pb * Pb) * 0.13292351)))) ^ n) ^ 0.40816826) * 0.71661365"
