Complexity,Loss,Equation
1,946.97614,"0.007977001"
3,243.58301,"bsq ^ -1.79986"
5,193.62988,"Lorentzian(bsq * 0.6553065, n)"
7,19.370193,"(Lorentzian(0.8055265, bsq) ^ n) ^ 0.22369912"
9,6.6453133,"(Lorentzian(Lorentzian(Pb, -2.9239118), bsq) ^ n) ^ 0.2290964"
11,4.771165,"((Lorentzian(Lorentzian(Pb, -2.87458), bsq) ^ n) ^ 0.21747433) * 0.8481519"
13,4.6872473,"((Lorentzian(Lorentzian(Pb, -2.1383762) * 1.654605, bsq) ^ n) ^ 0.21914531) * 0.8681555"
14,4.5742135,"(gaussian(n ^ -0.07198561) * (Lorentzian(Lorentzian(Pb, -2.8745794), bsq) ^ n)) ^ 0.2174207"
16,3.8945901,"(((Lorentzian(gaussian(Pb * (Pb * 0.066738844)), bsq) * 1.1669146) ^ n) ^ 0.22325434) * 0.739712"
18,3.8901541,"(((Lorentzian(gaussian((Pb * (Pb * 0.066738844)) * 0.98936796), bsq) * 1.1669146) ^ n) ^ 0.22325434) * 0.739712"
22,3.6936848,"(((Lorentzian(gaussian(((gaussian(gaussian(Pb * 0.2734237)) * Pb) * Pb) * 0.06373779), bsq) * 1.2010286) ^ n) ^ 0.22415201) * 0.7276479"
23,3.5881412,"(((Lorentzian(gaussian(((Pb * 0.3584992) * Lorentzian(gaussian(Pb * 0.21246436), bsq)) * Pb), bsq) * 1.1460834) ^ n) ^ 0.2194827) * 0.7332597"
27,3.5366142,"(((Lorentzian(gaussian((Pb * (Lorentzian(gaussian(gaussian(bsq * gaussian(Pb * 0.48826316))), bsq) * 0.34021017)) * Pb), bsq) * 1.1556402) ^ n) ^ 0.21927352) * 0.72598016"
