Complexity,Loss,Equation
1,1580.1649,"0.046332937"
3,682.30206,"bsq ^ -0.8734681"
4,660.82275,"gaussian(bsq ^ 0.15921995)"
5,438.75052,"(bsq * n) ^ -0.645001"
7,20.465685,"(0.9603538 ^ bsq) * (0.59234625 ^ n)"
9,20.156292,"((0.5992239 ^ n) * (0.9606204 ^ bsq)) * 0.9621414"
10,18.673592,"(0.6064278 ^ n) * gaussian((bsq ^ 0.46147275) * -0.23572506)"
12,15.484197,"(0.5987665 ^ n) * (1.4819741 * gaussian((bsq ^ 0.35569492) * -0.38540524))"
14,8.534966,"gaussian(((bsq ^ 0.35285828) * (n ^ 0.15205266)) * -0.33820453) * (0.69714296 ^ n)"
16,8.481254,"(0.69757664 ^ n) * (0.9638314 * gaussian(((bsq ^ 0.36071375) * (n ^ 0.15742634)) * -0.32390976))"
17,8.006926,"(gaussian(((n ^ 0.17312175) * (bsq ^ 0.36024678)) * -0.31976855) * gaussian(-1.101794 ^ n)) * 2.0142858"
19,6.529564,"(gaussian(((n ^ 0.16228057) * (bsq ^ 0.3408446)) * -0.34749126) * gaussian(Pb * -0.026215173)) * (0.7037628 ^ n)"
21,6.509811,"((0.7000405 ^ n) * (gaussian(Pb * -0.026275827) * gaussian(((n ^ 0.16180702) * (bsq ^ 0.3498437)) * -0.33314887))) * 0.97696"
23,4.796916,"((0.73498267 ^ n) * gaussian(((bsq ^ 0.30629256) * (n ^ 0.18554844)) * -0.3967625)) * (gaussian((Pb * bsq) * -0.00058781845) ^ 0.9905758)"
27,4.551241,"(gaussian((bsq * (((n * 0.12776323) ^ n) * Pb)) * -0.00936602) * (0.7342238 ^ n)) * gaussian(((n ^ 0.18587175) * (bsq ^ 0.30578777)) * -0.39706695)"
29,4.55124,"(gaussian((bsq * ((((n * 0.12776323) ^ n) * Pb) * -1.0377399)) * 0.009025402) * (0.7342238 ^ n)) * gaussian(((n ^ 0.18587175) * (bsq ^ 0.30578777)) * -0.39706695)"
