Complexity,Loss,Equation
1,541.48914,"0.020572273"
3,378.47873,"0.39471725 ^ n"
4,362.56464,"gaussian(n ^ 0.46429834)"
5,323.18945,"(0.57155997 ^ n) * 0.27320063"
7,323.0758,"((0.44625157 ^ n) * n) * 0.18936539"
8,245.84271,"gaussian(bL * -0.16051814) * (0.45613578 ^ n)"
9,217.3412,"((gaussian(bL) * gaussian(bT)) ^ 0.03555374) ^ n"
10,167.67134,"(0.47555652 ^ n) * gaussian(bT * (bL * 0.057351734))"
11,8.309289,"((gaussian(bL) * gaussian(bT)) ^ 0.042447984) * (0.59452784 ^ n)"
13,6.280335,"(0.57122886 ^ n) * (((gaussian(bL) * gaussian(bT)) ^ 0.04490001) * 1.2457563)"
15,5.6250715,"(((((gaussian(bT) * gaussian(bL)) ^ 0.078256816) ^ 0.15931793) * 0.7506496) ^ n) * 0.4615053"
17,5.613038,"((((((gaussian(bT) * gaussian(bL)) * 0.6793848) ^ 0.13534291) ^ 0.09143514) * 0.7536481) ^ n) * 0.45878828"
18,5.2277126,"(((((gaussian(bT) * exp(n * -2.738963)) * gaussian(bL)) ^ 0.12754826) ^ 0.09707492) ^ n) * 0.2589584"
19,5.144089,"((((((gaussian(bL) * 0.832345) * gaussian(bT)) ^ 0.06625654) ^ 0.18692483) * 0.58772266) ^ n) * (n * 0.3181838)"
21,5.120173,"n * ((((((((gaussian(bT) * gaussian(bL)) ^ 0.12640037) ^ 0.13759425) * 0.4723609) ^ n) ^ 0.81161803) ^ 0.8764516) * 0.31607807)"
24,4.2220135,"((0.34559026 ^ n) * (((gaussian(bT) * (gaussian(((n * bT) * 0.030853745) * bL) * gaussian(bL))) ^ 0.40937337) ^ 0.19225565)) ^ 0.49402145"
26,3.7151124,"(((gaussian(n * (((bT * 0.0035344993) * bL) * n)) * ((gaussian(bT) * gaussian(bL)) ^ 0.33631447)) ^ 0.28164884) * (0.30233204 ^ n)) ^ 0.43049854"
27,3.6876767,"(((gaussian((bL * n) * ((n * bT) * 0.0035344993)) * ((gaussian(bL) * gaussian(bT)) ^ 0.33631447)) ^ 0.28164884) * (gaussian(1.0946797) ^ n)) ^ 0.43049854"
28,3.5475206,"(((gaussian(n * (((bT * n) * 0.003141509) * bL)) * ((gaussian(bL) * gaussian(bT * 1.0157253)) ^ 0.27955496)) ^ 0.24371749) * (0.41668487 ^ n)) ^ 0.59039414"
30,3.5467277,"((((gaussian(n * ((bL * 0.0031415008) * (n * bT))) * ((gaussian(bL) * gaussian(bT * 1.0157253)) ^ 0.27955496)) * 1.0033832) ^ 0.24371749) * (0.41668487 ^ n)) ^ 0.59039414"
