Complexity,Loss,Equation
1,541.48914,"0.020572273"
3,331.44003,"n ^ -2.6258738"
5,323.18948,"(0.57139283 ^ n) * 0.27354565"
7,323.04196,"0.38470605 / ((1.852827 ^ n) + 1.2134186)"
9,306.5269,"1.3019665 / ((bT * bT) + (n ^ 2.5409803))"
11,229.81009,"1.3785222 / ((n + (bL * (bL * 0.035474513))) ^ 2.5409803)"
13,198.8238,"(0.62130064 / n) / ((((bL * 0.051481504) * bL) ^ n) + n)"
15,193.9116,"(0.46682665 / ((((bL * bL) * 0.051396586) ^ n) + n)) / (n + -0.8964122)"
17,81.68673,"1.5134264 / ((((n ^ bL) + (n ^ 3.4667833)) / (bL + 8.091032)) + (bT * bT))"
19,81.151085,"1.5134264 / (((n + ((n ^ bL) + (n ^ 3.4667833))) / (bL + 8.091032)) + (bT * bT))"
21,65.72752,"(2.0348294 / ((((n ^ 3.640129) / ((bL + n) + 5.223688)) + (bT * bT)) + (1.8946285 ^ bL))) + -0.011694634"
23,59.151237,"(2.2442636 / (((n / (0.6724713 ^ bL)) + ((n ^ 3.5684023) / (n + (bL + 4.9310155)))) + (bT * bT))) + -0.013783241"
25,54.08752,"(0.75943446 / (((1.4144529 ^ bL) + ((bT * bT) * 0.17679998)) + ((1.6654884 ^ n) / (((n + bL) + 6.8320856) * 0.16156691)))) + -0.037204426"
27,48.13144,"(0.7876557 / ((1.3791716 ^ bL) + ((bT * (bT * 0.14922509)) + ((1.7352474 ^ n) / ((((n ^ 1.3078362) + 5.569884) + bL) * 0.17873998))))) + -0.045664355"
29,24.094604,"(0.23163861 / (((1.2720397 ^ bL) + -2.565354) + (((bT * 0.070070066) * bT) + ((1.6567024 ^ n) / ((((n ^ 1.3937804) + 5.260065) + bL) * 0.2016289))))) + -0.029322691"
