Complexity,Loss,Equation
1,1352.4308,"0.010401983"
3,755.0175,"n ^ -3.0578117"
4,752.16974,"tanh(n ^ -3.0487912)"
5,304.57108,"(bsq ^ -0.29137385) ^ n"
6,285.25327,"tanh(0.96429646 ^ bsq) ^ n"
7,169.75475,"((bsq ^ -0.19011463) ^ n) * 0.39885557"
8,21.64151,"(0.5901832 ^ n) * exp(bsq * -0.04080966)"
10,20.398596,"((0.5808711 ^ n) * 1.1060414) * exp(bsq * -0.042756185)"
11,19.85518,"exp(bsq * -0.042733908) * tanh((0.57557625 ^ n) * 1.1600933)"
12,7.6175623,"(((bsq ^ -0.18187234) ^ n) * gaussian(bsq * 0.01866224)) * 0.5289421"
13,7.465599,"(gaussian(bsq * -0.01879161) * 0.55282533) * tanh((bsq ^ -0.1846135) ^ n)"
14,7.025563,"(gaussian((0.019074429 * bsq) ^ 0.77863926) * 0.5662321) * ((bsq ^ -0.18123393) ^ n)"
15,6.155558,"gaussian(bsq * -0.01841805) * ((((bsq ^ -0.18798295) * tanh(n)) ^ n) * 0.5764501)"
16,5.9022675,"(bsq ^ -0.22596529) * (gaussian(bsq * -0.016663868) * (((bsq * 1.9955525) ^ -0.14765938) ^ n))"
17,5.312059,"((bsq ^ -0.2093266) * gaussian(-0.016950622 * bsq)) * tanh(((bsq * 1.9548331) ^ -0.15061596) ^ n)"
18,5.016527,"(gaussian(bsq * -0.017867832) * (bsq ^ -0.18881646)) * tanh(tanh(((bsq * 2.5913165) ^ -0.14199865) ^ n))"
19,4.680218,"(gaussian(bsq * 0.016198426) * tanh((((bsq * 4.048309) ^ -0.12818332) ^ n) * 1.4782813)) * (bsq ^ -0.3255949)"
20,4.358994,"((bsq ^ -0.30038905) * tanh(tanh((((bsq * 4.0078616) ^ -0.13113819) ^ n) * 1.4848192))) * gaussian(bsq * -0.016819445)"
