Complexity,Loss,Equation
1,1352.4308,"0.010405071"
3,774.04254,"0.33919415 ^ n"
5,303.30765,"(bsq ^ -0.29500267) ^ n"
7,21.63436,"(0.5892639 ^ n) * (0.95998687 ^ bsq)"
9,20.375553,"((0.5822454 ^ n) * (0.95833325 ^ bsq)) * 1.0935429"
11,9.960644,"((0.97824633 ^ bsq) * 0.6885537) * ((bsq ^ -0.18112373) ^ n)"
12,9.369918,"(0.9638477 ^ bsq) * ((exp(bsq ^ -0.8256545) * 0.5266818) ^ n)"
13,5.265717,"((0.9693272 ^ bsq) * (((bsq * n) ^ -0.10123391) ^ n)) * 0.59581363"
15,4.612416,"((((bsq * n) * 0.42028695) ^ -0.120998174) ^ n) * ((0.97164136 ^ bsq) * 0.5277953)"
17,4.4161077,"((((bsq ^ -0.121667154) * 0.76580304) ^ n) * ((0.971818 ^ bsq) * (n ^ 0.32387874))) * 0.75213"
19,4.402222,"(((bsq ^ -0.121667154) * 0.76580304) ^ n) * ((0.971818 ^ bsq) * (0.75213 * ((n ^ 0.32387874) ^ 1.0085238)))"
20,4.2688503,"(gaussian((bsq ^ -0.13119696) ^ n) * 1.1151978) * ((0.969948 ^ bsq) * (((bsq ^ -0.12946019) * 0.8144842) ^ n))"
22,4.095121,"((0.9699904 ^ bsq) * (gaussian(((bsq ^ -0.10289029) ^ n) * 0.89935845) * (((bsq ^ -0.12770154) * 0.8060315) ^ n))) * 1.1640692"
25,4.0511374,"((((bsq ^ -0.18046446) * 0.80811995) ^ n) * ((((0.715032 ^ bsq) ^ 0.26868036) * (n * ((bsq ^ 0.46051827) * 0.12633102))) ^ 0.40421158)) ^ 0.84605736"
27,4.029597,"((((((bsq ^ 0.47128052) * ((0.7257687 ^ bsq) ^ 0.27068117)) * (0.11876584 * n)) ^ 0.44603235) * (((bsq ^ -0.18780042) * 0.79386723) ^ n)) ^ 0.8095544) * 1.0294015"
