Complexity,Loss,Equation
1,3055.224,"0.016930742"
3,2475.941,"n ^ -2.6561325"
4,1983.848,"gaussian(bsq ^ 0.28714892)"
5,545.2013,"(bsq ^ -0.2931288) ^ n"
6,396.06888,"gaussian((bsq ^ 0.04762629) ^ n)"
7,233.28702,"((bsq ^ -0.20419984) ^ n) * 0.52463573"
9,228.62138,"(((bsq ^ -0.20594054) * 1.0158017) ^ n) * 0.49736175"
10,61.73231,"(gaussian((bsq ^ 0.26841858) * -0.35822293) ^ n) * 0.5845622"
12,61.01498,"((gaussian((bsq ^ 0.24980456) * -0.3876957) * 1.0325288) ^ n) * 0.5791733"
13,49.733585,"gaussian(n ^ -0.50237375) * (gaussian((bsq ^ 0.23321764) * -0.41570455) ^ n)"
14,17.582218,"(((bsq ^ -0.14453779) * 0.9064382) ^ n) * (exp(bsq * -0.025520764) * 0.72392255)"
16,17.579836,"((exp(bsq * -0.05645227) * (((bsq ^ -0.320106) * 0.80430907) ^ n)) * 0.4876199) ^ 0.4513013"
18,17.101227,"(((bsq ^ -0.14539534) * 0.88372356) ^ n) * ((exp(bsq * -0.02553244) * 0.6890985) * (n ^ 0.12192879))"
19,16.32286,"((exp(bsq * -0.06032206) * gaussian(bsq ^ -0.11789383)) * (((bsq ^ -0.3369269) * 0.8387173) ^ n)) ^ 0.45909783"
21,15.086371,"(gaussian((bsq ^ n) ^ -0.06751821) * (exp(bsq * -0.060923796) * (((bsq ^ -0.3739076) * 0.79494303) ^ n))) ^ 0.4329514"
23,14.858464,"((((bsq ^ -0.34443903) * 0.7843529) ^ n) * (exp(bsq * -0.058775548) * gaussian(((bsq * 1.4268876) ^ n) ^ -0.0692704))) ^ 0.45768687"
25,14.812968,"(((0.88153625 * (bsq ^ -0.17802937)) ^ n) ^ 0.8845159) * ((exp(bsq * -0.0572576) * gaussian(((bsq ^ -0.06469293) * -0.9700831) ^ n)) ^ 0.46327022)"
27,14.809182,"(((((bsq ^ -0.17837527) * 0.881828) ^ n) ^ 0.88389444) * ((gaussian(((bsq ^ -0.06570169) * -0.9697071) ^ n) * exp(bsq * -0.057329908)) ^ 0.4626949)) * 0.9964422"
29,14.80918,"(((exp(bsq * -0.057329908) * gaussian(((bsq ^ n) ^ -0.06570169) * (-0.9697071 ^ n))) ^ 0.4626949) * ((((bsq ^ -0.17837527) * 0.881828) ^ n) ^ 0.88389444)) * 0.9964422"
30,14.7878,"((exp(-0.05721876 * bsq) * gaussian(((bsq ^ -0.06556814) * -0.9699301) ^ n)) ^ 0.46269223) * (((gaussian(0.24421401 ^ n) * ((bsq ^ -0.17849071) * 0.8814661)) ^ n) ^ 0.88394064)"
