Complexity,Loss,Equation
1,892.2983,"0.008798781"
3,421.4642,"n ^ -2.6360269"
5,94.59472,"(bsq ^ -0.25905192) ^ n"
7,19.609419,"(0.5996269 ^ n) * (0.9569373 ^ bsq)"
9,14.362362,"(0.5731912 ^ n) * ((0.953325 ^ bsq) * 1.321178)"
10,8.750971,"((n ^ -0.035385482) ^ bsq) * gaussian(-1.0855123 ^ n)"
12,7.7007594,"gaussian(-1.087243 ^ n) * (((n ^ -0.03720754) ^ bsq) * 1.0947537)"
13,6.800724,"((((n ^ -0.036930393) ^ bsq) * (0.5449246 ^ n)) * 0.4344863) * n"
15,6.753823,"(((n ^ -0.037351795) ^ bsq) * ((n ^ 1.1879175) * (0.5239698 ^ n))) * 0.39895925"
16,5.792999,"((((exp(n) * bsq) ^ -0.6726005) * 3.350633) ^ 0.6639312) * ((n ^ -0.022796236) ^ bsq)"
17,4.103423,"(n * ((0.5225002 ^ n) * (((n ^ -0.057829928) ^ bsq) ^ 0.4672812))) * (bsq ^ -0.317686)"
19,4.0598254,"((0.5191848 ^ n) * ((((n ^ -0.051609974) ^ bsq) ^ 0.4997112) * (1.1218717 * (bsq ^ -0.35950753)))) * n"
21,4.053613,"(((((n ^ -0.058263365) ^ bsq) ^ 0.44040307) * (0.522609 ^ n)) * (((bsq ^ -0.37352753) * n) ^ 0.96892595)) * 1.1448319"
22,3.6404326,"(n ^ 0.36814648) * ((((((1.2888952 ^ n) ^ -0.08154161) ^ bsq) ^ 0.36627698) * 1.666417) * ((exp(n) * bsq) ^ -0.47827452))"
24,3.6362112,"(((((bsq * exp(n)) ^ -0.46369147) * (n ^ 0.33533737)) ^ 1.0165461) * 1.6599747) * ((((1.2709901 ^ n) ^ -0.090913065) ^ bsq) ^ 0.35136738)"
25,3.471541,"((exp(n) * bsq) ^ -0.4162086) * (((((1.2285233 ^ n) ^ -0.1274536) ^ bsq) ^ 0.3126169) * (gaussian((n ^ n) ^ -0.36866298) * 1.9592925))"
27,3.4538772,"(gaussian(((n ^ n) ^ -0.7028998) * n) * ((bsq * exp(n)) ^ -0.41450265)) * (((((1.2241083 ^ n) ^ -0.1590641) ^ bsq) ^ 0.25601795) * 1.9341949)"
29,3.4150147,"gaussian((bsq * ((bsq ^ n) ^ -0.31408745)) * 0.27244976) * ((((exp(n) * bsq) ^ -0.4216739) * ((((1.22032 ^ n) ^ -0.14024507) ^ bsq) ^ 0.29196402)) * 2.0486836)"
