Complexity,Loss,Equation
1,1063.7891,"0.020691259"
3,604.56024,"bsq ^ -1.1352851"
5,139.71959,"(bsq ^ -0.26112625) ^ n"
7,22.05388,"(0.95659107 ^ bsq) * (0.6029596 ^ n)"
9,12.989579,"(((0.98688465 ^ bsq) * 0.74735177) ^ n) * 0.5009645"
12,6.84918,"(((bsq ^ -0.18251449) ^ n) * 1.7323687) * gaussian(1.0068319 ^ bsq)"
13,6.6821074,"gaussian(n * 0.1774248) * gaussian(((n * 0.084474824) * bsq) ^ 0.23267421)"
15,5.294907,"(gaussian((bsq * (n * 0.04094693)) ^ 0.28363898) * gaussian(n * -0.17877068)) * 0.63682723"
17,5.116181,"(gaussian(n * 0.17946367) * (gaussian(((n * 0.041561835) * bsq) ^ 0.31084776) ^ 0.8394341)) * 0.5331219"
18,4.913991,"(exp(n * ((bsq * -0.24891391) * (bsq ^ -0.7357569))) * ((1.1363884 ^ bsq) ^ -0.19090791)) * 0.7789852"
21,4.576072,"(((1.4536316 ^ bsq) ^ -0.06556957) * gaussian(n ^ -0.8967061)) * exp(bsq * (n * ((bsq ^ -0.75362456) * -0.28072122)))"
23,4.568822,"((((1.4261183 ^ bsq) ^ -0.06965247) * exp((bsq ^ -0.7595169) * ((bsq * n) * -0.2904158))) * 1.090378) * gaussian(n ^ -0.74631125)"
25,4.495917,"exp((-0.28169224 * (bsq * (bsq ^ -0.7571612))) * n) * ((((1.3143507 ^ bsq) ^ -0.09122072) * 0.93448347) * gaussian((n ^ n) ^ -0.38397333))"
27,4.4623246,"(gaussian(((n ^ n) ^ -0.5379857) * 1.547403) * (((1.3638613 ^ bsq) ^ -0.0795353) * 0.91279835)) * exp((bsq * (bsq ^ -0.7526937)) * (n * -0.27655682))"
29,4.460136,"((gaussian(((n ^ n) ^ -0.5380231) * 1.5473971) * 0.9084437) * exp((n * -0.27501568) * (bsq * ((bsq ^ -0.7542431) ^ 0.9962735)))) * ((1.3636361 ^ bsq) ^ -0.07939894)"
