Complexity,Loss,Equation
1,1063.789,"0.02069296"
3,604.56024,"bsq ^ -1.1352909"
5,139.71959,"(bsq ^ -0.26112857) ^ n"
7,22.051155,"(0.95666134 ^ bsq) * (0.6028508 ^ n)"
9,17.585407,"(0.57790774 ^ n) * (1.2490653 * (0.95448935 ^ bsq))"
10,13.610686,"(exp((bsq ^ 0.5227935) * n) ^ -0.11526413) * 0.47092894"
11,9.570178,"(((bsq ^ n) ^ -0.18277326) * 0.68458265) * (0.98041594 ^ bsq)"
12,6.0322466,"((bsq ^ n) ^ -0.18401982) * exp((1.021101 ^ bsq) * -0.4894098)"
14,5.579809,"exp((1.0228801 ^ bsq) * -0.46284106) * (((bsq * 1.1979837) ^ n) ^ -0.17417248)"
15,5.2490797,"(((bsq * (0.9091259 ^ bsq)) * ((bsq ^ n) ^ -0.5288771)) ^ 0.34937543) * 0.3327793"
17,4.977542,"(((((bsq * 1.6139789) ^ n) ^ -0.6075667) * ((0.88000464 ^ bsq) * bsq)) ^ 0.2625452) * 0.43596372"
19,4.9434786,"((((0.8716608 ^ bsq) * ((bsq ^ n) ^ -0.65897155)) * bsq) ^ 0.23928972) * ((0.9220977 ^ n) * 0.45909724)"
20,4.661998,"((bsq * (((bsq ^ n) ^ -0.54772377) * ((0.91077274 ^ bsq) * exp(-0.46863014 ^ n)))) ^ 0.34676298) * 0.353452"
22,4.4082093,"(((((bsq * 1.3786947) ^ n) ^ -0.5550937) * ((0.8972897 ^ bsq) * (bsq * exp(-0.48515713 ^ n)))) ^ 0.30950743) * 0.40704605"
24,4.338981,"(((((bsq ^ n) ^ -0.62861437) * (((0.88129485 ^ bsq) * exp(-0.5135274 ^ n)) * bsq)) ^ 0.25973657) * (0.9230506 ^ n)) * 0.4640884"
32,3.8889802,"n * (n * ((0.23447946 ^ n) * ((((gaussian(Pb * 0.009378515) * 0.85191715) ^ bsq) * ((((bsq ^ n) ^ -0.85147256) * bsq) * ((n * n) ^ n))) ^ 0.18034638)))"
34,3.8100562,"n * ((((bsq * (((((n * n) ^ n) ^ 1.4823388) * ((gaussian(Pb * -0.013188469) * 0.7791923) ^ bsq)) * ((bsq ^ n) ^ -1.4172665))) ^ 0.10565781) * n) * (0.25875175 ^ n))"
36,3.7828074,"(0.24624237 ^ n) * (n * ((((((bsq ^ n) ^ -1.2997811) * ((bsq * (((n * n) ^ n) ^ 1.4404308)) * ((gaussian(Pb * -0.012377497) * 0.7952686) ^ bsq))) ^ 0.11635525) * n) * 1.0676066))"
38,3.670022,"(n * (0.23171581 ^ n)) * (n * (((bsq * gaussian((-0.001567309 * Pb) * bsq)) * ((3.5851226 * (((n * n) ^ n) ^ 1.5128859)) * (((bsq ^ n) ^ -1.2388564) * (0.7862614 ^ bsq)))) ^ 0.116662785))"
40,3.5960217,"((((((0.78391427 ^ bsq) * gaussian(Pb * ((n * 0.0004075466) * bsq))) * (((((n * n) ^ n) ^ 1.5124089) * ((bsq ^ n) ^ -1.2397684)) * bsq)) * 3.6719837) ^ 0.116678946) * n) * ((0.23206793 ^ n) * n)"
42,3.5696847,"(((0.23063743 ^ n) * n) * (((((bsq ^ n) ^ -1.237398) * (((bsq * ((gaussian(Pb * ((bsq * -0.0003501595) * n)) * ((n * n) ^ n)) ^ 1.5137771)) * 3.439302) * (0.7863397 ^ bsq))) ^ 0.11748984) * n)) ^ 0.9928764"
44,3.5689783,"((((0.23063743 ^ n) * ((((0.7863397 ^ bsq) * ((((bsq ^ n) ^ -1.237398) * bsq) * ((gaussian((Pb * -0.0003501595) * (bsq * n)) * ((n * n) ^ n)) ^ 1.5137771))) * 3.6272042) ^ 0.11748984)) * (n * 0.9928764)) * n) ^ 0.9928764"
49,3.5659127,"((0.23063743 ^ n) * (((n * ((((bsq ^ n) ^ -1.237398) * ((0.7863397 ^ bsq) * ((bsq * ((((n * n) ^ n) * gaussian((Pb * -0.0003501595) * (bsq * n))) ^ 1.5137771)) * (gaussian(-0.80922025 ^ bsq) * 3.6272042)))) ^ 0.11748984)) * n) * 0.99353737)) ^ 0.9928764"
